uniqueID,sample,year,sitecode,species_4code_IBP,territories,orig_site_name,revised_site_name,dominant_ELC_site_type,dominant_ELC_site_code,site_size_ha,lat_dd,long_dd,siteform,sp_common_name_uppercase_IBP,sp_scientific_name_IBP,species_4code_IBP,species_6code_IBP,species_4code_LPBBC,BOTW_reference,sp_weight_g,weight_reference,habitat_guild_BOTW,food_item_BOTW,nest_guild_BOTW,forage_behavior_BOTW,conservation_status_BOTW,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,sp_common_name_uppercase_NHIC,sp_scientific_name_NHIC,sp_common_name_lowercase_NHIC,sp_common_name_noun_NHIC,sp_common_name_sentence_NHIC,sp_author_NHIC,sp_french_name_NHIC,sp_common_name_AOS,sp_french_name_AOS,sp_order_AOS,sp_family_AOS,sp_subfamily_name_AOS,sp_genus_AOS,sp_scientific_name_AOS,status_introduced_AOS,sp_common_name_PFN,sp_Ojibwe_name_PFN,sp_name_meaning_PFN,sp_latin_name_PFN,Breeding.Biome,Winter.Biome,Family,bird.group,Migrate,AI,native,popest,popestlci,popestuci,first_year_popest,last_year_popest,Pop.source,Trajectory_data_source,Trajectory_firstyear,Trajectory_lastyear,Loss_med,Loss_lci,Loss_uci,Loss_lqrt,Loss_uqrt,PopUsCa,PopLC95,PopUC95,TimeAdj.meanlog,TimeAdj.sdlog,Distance Adj.,Pair Adj.
1991_BGGR_EAKI,1991_BGGR,1991,BGGR,EAKI,0.5,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Eastern Kingbird,Tyrannus tyrannus,EAKI,TYRTYR,EAKI,"Murphy, M. T., & Pyle, P. (2020). Eastern Kingbird (Tyrannus tyrannus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.easkin.01species_shared.bow.project_name",39.5,Long Point Bird Observatory,grasslands,insects,tree,flycatching,low concern,Insectivore,air,sallier,Eastern Kingbird,Tyrannus tyrannus,eastern kingbird,eastern kingbird,Eastern kingbird,"(Linnaeus, 1758)",Tyran tritri,Eastern Kingbird,Tyran tritri,Passeriformes,Tyrannidae,Tyranninae,Tyrannus,Tyrannus tyrannus,0,0,0,0,0,Grassland,South America,Tyrannidae,landbird,M,AI,native,25924168,24123810,27704273,2006,2015,PIF0615,BBS7017,1970,2017,17516040.08,15312357.16,19904184.33,16740968.55,18314825.8,25924167.79,24123809.5,27704273,0.144573269,0.008622775,125,1.75
1991_DCJS_TRES,1991_DCJS,1991,DCJS,TRES,6,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Tree Swallow,Tachycineta bicolor,TRES,TACBIC,TRES,"Winkler, D. W., Hallinger, K. K., Ardia, D. R., Robertson, R. J., Stutchbury, B. J., & Cohen, R. R. (2020). Tree Swallow (Tachycineta bicolor), version 1.0. Birds of the World. https://doi.org/10.2173/bow.treswa.01species_shared.bow.project_name",21.55,Long Point Bird Observatory,lakes and ponds,insects,cavity,aerial forager,low concern,Insectivore,air,screener,Tree Swallow,Tachycineta bicolor,tree swallow,tree swallow,Tree swallow,"(Vieillot, 1808)",Hirondelle bicolore,Tree Swallow,Hirondelle bicolore,Passeriformes,Hirundinidae,Hirundininae,Tachycineta,Tachycineta bicolor,0,0,0,0,0,Habitat Generalist,Widespread,Hirundinidae,landbird,M,AI,native,18581775,16732180,20563777,2006,2015,PIF0615,BBS7017,1970,2017,12732185.49,10394535.39,15211117.96,11947497.3,13571231.65,18581775.27,16732180,20563777,0.136023938,0.016419183,200,1.75
1991_DCJS_CHSP,1991_DCJS,1991,DCJS,CHSP,5.5,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Chipping Sparrow,Spizella passerina,CHSP,SPIPAS,CHSP,"Middleton, A. L. (2020). Chipping Sparrow (Spizella passerina), version 1.0. Birds of the World. https://doi.org/10.2173/bow.chispa.01species_shared.bow.project_name",12.18,Long Point Bird Observatory,open woodlands,seeds,shrub,ground forager,low concern,Omnivore,ground,forage,Chipping Sparrow,Spizella passerina,chipping sparrow,chipping sparrow,Chipping sparrow,"(Bechstein, 1798)",Bruant familier,Chipping Sparrow,Bruant familier,Passeriformes,Passerellidae,0,Spizella,Spizella passerina,0,0,0,0,0,Forest Generalist,Temperate North America,Passerellidae,landbird,M,other,native,230957566,213377234,249914852,2006,2015,PIF0615,BBS7017,1970,2017,79503437.13,60736278.11,98183879.99,72857128.71,86031359.57,230957566,213377233.5,249914851.5,0.695273332,0.023465322,125,2
1991_DCJS_NHWR,1991_DCJS,1991,DCJS,NHWR,4.5,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Northern House Wren,Troglodytes aedon,NHWR,TROAED,HOWR,"Johnson, L. S. (2020). House Wren (Troglodytes aedon), version 1.0. Birds of the World. https://doi.org/10.2173/bow.houwre.01species_shared.bow.project_name",10.67,Birds of the World,scrub,insects,cavity,foliage gleaner,low concern,Insectivore,lower-canopy,gleaner,House Wren,Troglodytes aedon,house wren,house wren,House wren,"(Vieillot, 1809)",Troglodyte familier,House Wren,Troglodyte familier,Passeriformes,Troglodytidae,0,Troglodytes,Troglodytes aedon,0,House wren,O-du-na'-mis-sug-ud-da-we'-shi ,"Making a big noise for its size, not distinguished from winter wren",Troglodytes aedon,Forest Generalist,Temperate North America,Troglodytidae,landbird,M,other,native,43318358,39758949,47473572,2006,2015,PIF0615,BBS7017,1970,2017,-6013778.814,-10036719.82,-2356280.051,-7353318.35,-4734259.512,Missing,0,0,0,0,0,0
1991_DCJS_SOSP,1991_DCJS,1991,DCJS,SOSP,3,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Song Sparrow,Melospiza melodia,SOSP,MELMEL,SOSP,"Arcese, P., Sogge, M. K., Marr, A. B., & Patten, M. A. (2020). Song Sparrow (Melospiza melodia), version 1.0. Birds of the World. https://doi.org/10.2173/bow.sonspa.01species_shared.bow.project_name",20.68,Birds of the World,open woodlands,insects,shrub,ground forager,low concern,Omnivore,lower-canopyforager,ground,Song Sparrow,Melospiza melodia,song sparrow,song sparrow,Song sparrow,"(Wilson, 1810)",Bruant chanteur,Song Sparrow,Bruant chanteur,Passeriformes,Passerellidae,0,Melospiza,Melospiza melodia,0,0,0,0,0,Habitat Generalist,Temperate North America,Passerellidae,landbird,M,other,native,126053605,118934257,133938545,2006,2015,PIF0615,BBS7017,1970,2017,55082452.28,44568048.84,65846626.07,51610368.03,58699961.08,126053605,118934257,133938545,0.377871011,0.025177923,125,2
1991_DCJS_EUST,1991_DCJS,1991,DCJS,EUST,2,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,European Starling,Sturnus vulgaris,EUST,STUVUL,EUST,"Cabe, P. R. (2020). European Starling (Sturnus vulgaris), version 1.0. Birds of the World. https://doi.org/10.2173/bow.eursta.01species_shared.bow.project_name",77.07,Birds of the World,towns,insects,cavity,ground forager,low concern,Omnivore,ground,forager,European Starling,Sturnus vulgaris,european starling,european starling,European starling,"(Linnaeus, 1758)",Étourneau sansonnet,European Starling,Étourneau sansonnet,Passeriformes,Sturnidae,0,Sturnus,Sturnus vulgaris,I,0,0,0,0,Introduced,Introduced,Sturnidae,other,Introduced,other,Introduced,93371907,85941592,102256039,2006,2015,PIF0615,BBS7017,1970,2017,83350978.13,72594864.68,94770107,79563581.94,87124508.54,93371906.9,85941592,102256038.5,0.455644428,0.068393305,200,1
1991_DCJS_AMCR,1991_DCJS,1991,DCJS,AMCR,1,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,American Crow,Corvus brachyrhynchos,AMCR,CORBRA,AMCR,"Verbeek, N. A., & Caffrey, C. (2021). American Crow (Corvus brachyrhynchos), version 1.1. Birds of the World. https://doi.org/10.2173/bow.amecro.01.1species_shared.bow.project_name",506,Birds of the World,open woodlands,omnivore,tree,ground forager,low concern,Omnivore,ground,forager,American Crow,Corvus brachyrhynchos,american crow,American crow,American crow,"(Brehm, 1822)",Corneille d'Amérique,American Crow,Corneille d'Amérique,Passeriformes,Corvidae,0,Corvus,Corvus brachyrhynchos,0,0,0,0,0,Habitat Generalist,Temperate North America,Corvidae,landbird,M,other,native,28047630,26447403,29639378,2006,2015,PIF0615,BBS7017,1970,2017,-837552.9815,-2431116.019,734755.6257,-1392337.978,-310652.9783,28047630.47,26447403,29639378,0.509424135,0.035825627,400,1.75
1991_DCJS_FISP,1991_DCJS,1991,DCJS,FISP,1,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Field Sparrow,Spizella pusilla,FISP,SPIPUS,FISP,"Carey, M., Burhans, D. E., & Nelson, D. A. (2020). Field Sparrow (Spizella pusilla), version 1.0. Birds of the World. https://doi.org/10.2173/bow.fiespa.01species_shared.bow.project_name",12.04,Long Point Bird Observatory,scrub,insects,ground,ground forager,common bird in steep decline,Omnivore,ground,forage,Field Sparrow,Spizella pusilla,field sparrow,field sparrow,Field sparrow,"(Wilson, 1810)",Bruant des champs,Field Sparrow,Bruant des champs,Passeriformes,Passerellidae,0,Spizella,Spizella pusilla,0,0,0,0,0,Eastern Forest,Temperate North America,Passerellidae,landbird,M,other,native,9333611,8343751,10393211,2006,2015,PIF0615,BBS7017,1970,2017,16311718.95,14318722.81,18466928.12,15619987.63,17003536.32,9333610.712,8343751,10393211,0.080762136,0.009480465,200,2
1991_DCJS_NOFL,1991_DCJS,1991,DCJS,NOFL,1,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Northern Flicker,Colaptes auratus,NOFL,COLAUT,YSFL,"Wiebe, K. L., & Moore, W. S. (2023). Northern Flicker (Colaptes auratus), version 2.0. Birds of the World. https://doi.org/10.2173/bow.norfli.02species_shared.bow.project_name",127.12,Birds of the World,open woodlands,insects,cavity,ground forager,low concern,Insectivore,ground,gleaner,Northern Flicker,Colaptes auratus,northern flicker,northern flicker,Northern flicker,"(Linnaeus, 1758)",Pic flamboyant,Northern Flicker,Pic flamboyant,Piciformes,Picidae,Picinae,Colaptes,Colaptes auratus,0,Yellow-shafted flicker,Mo-ning'-gua-ne',Bird with the dirty coloured wings,Colaptes auratus,Forest Generalist,Widespread,Picidae,landbird,M,other,native,10997056,10030079,12029437,2006,2015,PIF0615,BBS7017,1970,2017,7961296.059,6849653.556,9122472.269,7572993.114,8352821.463,10997055.7,10030078.5,12029436.5,0.263105839,0.045989788,200,1.25
1991_DCJS_NOMO,1991_DCJS,1991,DCJS,NOMO,1,Dry Cottonwood-Juniper Savannah,Dry Cottonwood - Juniper Savannah,Open Sand Barren and Dune,SDO,11.3,42.54345167,-80.11407278,Terrestrial,Northern Mockingbird,Mimus polyglottos,NOMO,MIMPOL,NOMO,"Farnsworth, G., Londono, G. A., Martin, J. U., Derrickson, K. C., & Breitwisch, R. (2020). Northern Mockingbird (Mimus polyglottos), version 1.0. Birds of the World. https://doi.org/10.2173/bow.normoc.01species_shared.bow.project_name",48.05,Long Point Bird Observatory,towns,omnivore,shrub,ground forager,low concern,Omnivore,ground,forager,Northern Mockingbird,Mimus polyglottos,northern mockingbird,northern mockingbird,Northern mockingbird,"(Linnaeus, 1758)",Moqueur polyglotte,Northern Mockingbird,Moqueur polyglotte,Passeriformes,Mimidae,0,Mimus,Mimus polyglottos,0,0,0,0,0,Habitat Generalist,Temperate North America,Mimidae,landbird,M,other,native,33748673,30589410,37047818,2006,2015,PIF0615,BBS7017,1970,2017,10508038.39,7913822.776,13219745.83,9603651.306,11437382.37,33748673.11,30589410,37047817.5,0.099038838,0.013748544,200,1.5
