uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_ROIS_NOFL,1991_ROIS,1991,ROIS,NOFL,0.5
1991_ROMF_RWBL,1991_ROMF,1991,ROMF,RWBL,15
1991_ROMF_NHWR,1991_ROMF,1991,ROMF,NHWR,14
1991_ROMF_SOSP,1991_ROMF,1991,ROMF,SOSP,11.5
1991_ROMF_BAOR,1991_ROMF,1991,ROMF,BAOR,11
1991_ROMF_TRES,1991_ROMF,1991,ROMF,TRES,11
1991_ROMF_EAWP,1991_ROMF,1991,ROMF,EAWP,9
1991_ROMF_REVI,1991_ROMF,1991,ROMF,REVI,9
1991_ROMF_COGR,1991_ROMF,1991,ROMF,COGR,7
1991_ROMF_EAKI,1991_ROMF,1991,ROMF,EAKI,6.5
1991_ROMF_YEWA,1991_ROMF,1991,ROMF,YEWA,5.5
1991_ROMF_COYE,1991_ROMF,1991,ROMF,COYE,4.5
1991_ROMF_DOWO,1991_ROMF,1991,ROMF,DOWO,4.5
1991_ROMF_GCFL,1991_ROMF,1991,ROMF,GCFL,4.5
1991_ROMF_NOFL,1991_ROMF,1991,ROMF,NOFL,3
1991_ROMF_BCCH,1991_ROMF,1991,ROMF,BCCH,2.5
1991_ROMF_AMRO,1991_ROMF,1991,ROMF,AMRO,2
1991_ROMF_BLJA,1991_ROMF,1991,ROMF,BLJA,2
1991_ROMF_EATO,1991_ROMF,1991,ROMF,EATO,2
1991_ROMF_EUST,1991_ROMF,1991,ROMF,EUST,2
1991_ROMF_NOCA,1991_ROMF,1991,ROMF,NOCA,2
1991_ROMF_RBWO,1991_ROMF,1991,ROMF,RBWO,2
1991_ROMF_WBNU,1991_ROMF,1991,ROMF,WBNU,2
1991_ROMF_AMWO,1991_ROMF,1991,ROMF,AMWO,1
1991_ROMF_BHCO,1991_ROMF,1991,ROMF,BHCO,1
1991_ROMF_RHWO,1991_ROMF,1991,ROMF,RHWO,1
1991_ROMS_RWBL,1991_ROMS,1991,ROMS,RWBL,21.5
1991_ROMS_SOSP,1991_ROMS,1991,ROMS,SOSP,15
1991_ROMS_YEWA,1991_ROMS,1991,ROMS,YEWA,13
1991_ROMS_EAWP,1991_ROMS,1991,ROMS,EAWP,11.5
1991_ROMS_COYE,1991_ROMS,1991,ROMS,COYE,8.5
1991_ROMS_BAOR,1991_ROMS,1991,ROMS,BAOR,8
1991_ROMS_NHWR,1991_ROMS,1991,ROMS,NHWR,7
1991_ROMS_EUST,1991_ROMS,1991,ROMS,EUST,6.5
1991_ROMS_TRES,1991_ROMS,1991,ROMS,TRES,6
1991_ROMS_COGR,1991_ROMS,1991,ROMS,COGR,4.5
1991_ROMS_EAKI,1991_ROMS,1991,ROMS,EAKI,4.5
1991_ROMS_AMRE,1991_ROMS,1991,ROMS,AMRE,4
1991_ROMS_REVI,1991_ROMS,1991,ROMS,REVI,4
1991_ROMS_WAVI,1991_ROMS,1991,ROMS,WAVI,4
1991_ROMS_AMRO,1991_ROMS,1991,ROMS,AMRO,3
1991_ROMS_GCFL,1991_ROMS,1991,ROMS,GCFL,3
1991_ROMS_BCCH,1991_ROMS,1991,ROMS,BCCH,2
1991_ROMS_BHCO,1991_ROMS,1991,ROMS,BHCO,2
1991_ROMS_DOWO,1991_ROMS,1991,ROMS,DOWO,2
1991_ROMS_NOFL,1991_ROMS,1991,ROMS,NOFL,2
1991_ROMS_AMWO,1991_ROMS,1991,ROMS,AMWO,1
1991_ROMS_BLJA,1991_ROMS,1991,ROMS,BLJA,1
1991_ROMS_CEDW,1991_ROMS,1991,ROMS,CEDW,1
1991_ROMS_NOCA,1991_ROMS,1991,ROMS,NOCA,1
1991_ROMS_WBNU,1991_ROMS,1991,ROMS,WBNU,1
1991_ROWB_BTNW,1991_ROWB,1991,ROWB,BTNW,0.25
1991_ROWB_NHWR,1991_ROWB,1991,ROWB,NHWR,11
1991_ROWB_RWBL,1991_ROWB,1991,ROWB,RWBL,10
1991_ROWB_TRES,1991_ROWB,1991,ROWB,TRES,9
1991_ROWB_BAOR,1991_ROWB,1991,ROWB,BAOR,4
1991_ROWB_COYE,1991_ROWB,1991,ROWB,COYE,4
1991_ROWB_EAWP,1991_ROWB,1991,ROWB,EAWP,3
1991_ROWB_GCFL,1991_ROWB,1991,ROWB,GCFL,3
1991_ROWB_SOSP,1991_ROWB,1991,ROWB,SOSP,3
1991_ROWB_AMRO,1991_ROWB,1991,ROWB,AMRO,2.5
1991_ROWB_YEWA,1991_ROWB,1991,ROWB,YEWA,2.5
1991_ROWB_COGR,1991_ROWB,1991,ROWB,COGR,2
1991_ROWB_EAKI,1991_ROWB,1991,ROWB,EAKI,2
1991_ROWB_NOFL,1991_ROWB,1991,ROWB,NOFL,2
1991_ROWB_RHWO,1991_ROWB,1991,ROWB,RHWO,2
1991_ROWB_BGGN,1991_ROWB,1991,ROWB,BGGN,1
1991_ROWB_BHCO,1991_ROWB,1991,ROWB,BHCO,1
1991_ROWB_BLJA,1991_ROWB,1991,ROWB,BLJA,1
1991_ROWB_CHSP,1991_ROWB,1991,ROWB,CHSP,1
1991_ROWB_DOWO,1991_ROWB,1991,ROWB,DOWO,1
1991_ROWB_EUST,1991_ROWB,1991,ROWB,EUST,1
1991_ROWB_EWPW,1991_ROWB,1991,ROWB,EWPW,1
1991_ROWB_MODO,1991_ROWB,1991,ROWB,MODO,1
1991_ROWB_WAVI,1991_ROWB,1991,ROWB,WAVI,1
1991_ROWB_AGOL,1991_ROWB,1991,ROWB,AGOL,0.5
1991_ROWP_SOSP,1991_ROWP,1991,ROWP,SOSP,16
1991_ROWP_TRES,1991_ROWP,1991,ROWP,TRES,8.5
1991_ROWP_NHWR,1991_ROWP,1991,ROWP,NHWR,5
1991_ROWP_MAWR,1991_ROWP,1991,ROWP,MAWR,4
1991_ROWP_BAOR,1991_ROWP,1991,ROWP,BAOR,3
1991_ROWP_EAKI,1991_ROWP,1991,ROWP,EAKI,3
1991_ROWP_EAWP,1991_ROWP,1991,ROWP,EAWP,3
1991_ROWP_EUST,1991_ROWP,1991,ROWP,EUST,3
1991_ROWP_YEWA,1991_ROWP,1991,ROWP,YEWA,2.5
1991_ROWP_AGOL,1991_ROWP,1991,ROWP,AGOL,2
1991_ROWP_AMRO,1991_ROWP,1991,ROWP,AMRO,2
1991_ROWP_COGR,1991_ROWP,1991,ROWP,COGR,2
1991_ROWP_ABDU,1991_ROWP,1991,ROWP,ABDU,1
1991_ROWP_CEDW,1991_ROWP,1991,ROWP,CEDW,1
1991_ROWP_MALL,1991_ROWP,1991,ROWP,MALL,1
1991_ROWP_PROW,1991_ROWP,1991,ROWP,PROW,1
1991_ROWP_REVI,1991_ROWP,1991,ROWP,REVI,1
1991_ROWP_CANG,1991_ROWP,1991,ROWP,CANG,0.5
1991_ROWP_COYE,1991_ROWP,1991,ROWP,COYE,0.5
1991_SRS1_SPSA,1991_SRS1,1991,SRS1,SPSA,3.5
1991_SRS1_KILL,1991_SRS1,1991,SRS1,KILL,2.5
1991_SRS1_RWBL,1991_SRS1,1991,SRS1,RWBL,2.5
1991_SRS1_EAKI,1991_SRS1,1991,SRS1,EAKI,1
1991_SRS1_EABL,1991_SRS1,1991,SRS1,EABL,0.5
1991_SRS2_BHCO,1991_SRS2,1991,SRS2,BHCO,0.25
1991_SRS2_KILL,1991_SRS2,1991,SRS2,KILL,2.5
1991_SRS2_RWBL,1991_SRS2,1991,SRS2,RWBL,2
1991_SRS2_SPSA,1991_SRS2,1991,SRS2,SPSA,1.5
1991_SRS2_CHSP,1991_SRS2,1991,SRS2,CHSP,1
1991_SRS2_EAKI,1991_SRS2,1991,SRS2,EAKI,0.5
1991_STDP_RWBL,1991_STDP,1991,STDP,RWBL,30
1991_STDP_SOSP,1991_STDP,1991,STDP,SOSP,9
1991_STDP_YEWA,1991_STDP,1991,STDP,YEWA,4.5
1991_STDP_COYE,1991_STDP,1991,STDP,COYE,4
1991_STDP_TRES,1991_STDP,1991,STDP,TRES,4
1991_STDP_EAKI,1991_STDP,1991,STDP,EAKI,3.5
1991_STDP_BAOR,1991_STDP,1991,STDP,BAOR,1
1991_STDP_BCCH,1991_STDP,1991,STDP,BCCH,1
1991_STDP_COGR,1991_STDP,1991,STDP,COGR,1
1991_STDP_NHWR,1991_STDP,1991,STDP,NHWR,0.5
1991_TMSL_RWBL,1991_TMSL,1991,TMSL,RWBL,12
1991_TMSL_COYE,1991_TMSL,1991,TMSL,COYE,10.5
1991_TMSL_SOSP,1991_TMSL,1991,TMSL,SOSP,10.5
1991_TMSL_NHWR,1991_TMSL,1991,TMSL,NHWR,10
1991_TMSL_COGR,1991_TMSL,1991,TMSL,COGR,6.5
1991_TMSL_BCCH,1991_TMSL,1991,TMSL,BCCH,4
1991_TMSL_MODO,1991_TMSL,1991,TMSL,MODO,3.5
1991_TMSL_AGOL,1991_TMSL,1991,TMSL,AGOL,3
1991_TMSL_BRTH,1991_TMSL,1991,TMSL,BRTH,3
1991_TMSL_CARW,1991_TMSL,1991,TMSL,CARW,3
1991_TMSL_EAKI,1991_TMSL,1991,TMSL,EAKI,3
1991_TMSL_EAWP,1991_TMSL,1991,TMSL,EAWP,3
1991_TMSL_GRCA,1991_TMSL,1991,TMSL,GRCA,3
1991_TMSL_BAOR,1991_TMSL,1991,TMSL,BAOR,2.5
