site,ABDU,AMBI,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BEKI,BGGN,BHCO,BLBW,BLJA,BOBO,BRCR,BRTH,BTNW,CAGO,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COHA,CONI,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EAPH,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOFI,HOME,HOWR,INBU,KILL,LEBI,LEFL,MALL,MAWA,MAWR,MODO,NOCA,NOFL,NOGO,NOMO,NRWS,NSWO,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SORA,SOSP,SPSA,SSHA,SWSP,TRES,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WIWR,WODU,WTSP,YBCU,YTVI,YWAR
2021_BGGR,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,0,0,14,0,0,0,0,2.5,0,0,0,7,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,18.5
2021_DCJS,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,3,0,0,0,0,1,17.5,0,1,0,0,0.25,0,0,0,0,1.5,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021_DCSD,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1,0,0,0,0,0,1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0.5,14.5,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021_IDSS,0,0,0.5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,11,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021_RARO,0,0,0,0,0,3,2,1,0,0,4,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,11.5,0,0,1,0,3.5,0,0,1,1,4.5,1,2,2,3,0,4,0,0,0,0,20.5,2.5,0,0,1,0,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16.5,0,0,1,0,0,0.25,5,0,0,5,0.5,0,0,0,0.5,0,0,0,1,0,28
2021_ROIS,0,0,0,0,0,1,6,1,1,0,5.5,0,3,0,4,1,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0,0,9.5,0,0,1,0,8.5,0,0,1,0,9,9,0,0,2,0,3,0,0,0,0,18,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,39.5,0,0,1,0,0,0,7,0,1,16.5,2,0,1,0,0,0,0.5,0,2,0,42.5
2021_ROMS,0,0,0,0,0,1,3,1,1,0,7.5,0,2,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0.25,3,0,0.25,8,0,0,2,0,7,0,0,2,0,12,2,0,0,3,0,10,0,0,0,0,27.5,0,0,0,0,0,0,0,0.5,1,2,0,0,0,0,0,0,0,0,0,0,1.5,14,0,0.5,1,31.5,0,0,1,0,0,0,10,0,1,15,0,0,0,0,0,0,0,0,2,0,47
2021_ROSF,0,0,0,0,0,8,2.5,1,0,0,11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.25,7,0,0,7,0,0,0,0,3.5,0,0,0,0,6.5,2,3,0,5,0.5,3,0,0,0,0,10,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0.25,11.5,0,0,0,0,0,0.5,6,0,0,9,1,0,0,0,1,0,1,0,2,0,15.5
2021_ROWB,0,0,0,0,0,3,3,0,1,0,3,0,1,0,0,1,0,2,0,0,0.25,0,0,0,0,0,0,1,2,0,0,10.5,0,0,1,0,2,0,0,1,1,4,2,2,0,2,0,4,0,0,0,0,10,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1.5,8.5,0,0,0,10,1,0,0,0,0,1,4,0,0,0,0.25,0,0,0,1,0,0,0,3,0,8.5
2021_ROWP,0,0,1,0,0,1,1,2,1,0,2,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,10,0,0,0,0,5.5,0,0,1,0,3,2,0,0,0,0,5,1,0,0,0,4.5,0,0,0,0,0,0,3,4,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,28,0,0,0,0,0,0,3,0,0,7,0,0,0.25,0,0,0,1,0,2,0,24
2021_SRS1,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
2021_SRS2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2021_STDP,0,0,0,1,0,0,0.25,0,0,0,1,0,2,0,0,1,0,0.5,0,0,2.5,0,0,0,0,1,3,0,2,0,0,15,0,0,0,0,4,0,0,0,4.5,0,0,0,2.5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1.5,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15.5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.25,0,17.5
2021_TMSL,0,0,0,0,0,0,2.5,2,0,0,0,0,3,0,0,0,0,3,0,0,0.5,0,0,2,0,0,2.5,0,3.5,0,0,10,0,0,0,0,1.5,0,0,0,5,0,0,0,0.5,3.5,0,4,0.5,1,0,0,0.25,0.5,0,0,0,0.25,0,1.5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20.5,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,19
2021_WPWC,0,0,0,0,0,0,3,0.5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.5,0,1,3.5,0,1,0,0,6,0,0,0,0,1.5,0,0,0.5,7,3,0,1,0,2,0,2,0,0.5,0,0,11,0,0,0,0,0,0,0,2.5,2,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5
