site,ABDU,AMBI,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BEKI,BGGN,BHCO,BLBW,BLJA,BOBO,BRCR,BRTH,BTNW,CAGO,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COHA,CONI,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EAPH,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOFI,HOME,HOWR,INBU,KILL,LEBI,LEFL,MALL,MAWA,MAWR,MODO,NOCA,NOFL,NOGO,NOMO,NRWS,NSWO,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SORA,SOSP,SPSA,SSHA,SWSP,TRES,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WIWR,WODU,WTSP,YBCU,YTVI,YWAR
2005_ROIS,0.00,0.00,0.00,1.00,0.00,1.00,5.00,2.00,0.00,0.00,4.00,0.00,2.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,9.00,0.00,0.00,3.00,0.00,4.00,0.00,0.00,0.00,0.00,10.00,3.00,0.00,0.00,2.50,0.00,5.00,0.00,0.00,0.00,0.00,12.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,5.00,0.00,0.00,0.00,14.50,0.00,0.00,10.50,0.00,0.00,0.00,4.50,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00
2005_TMSL,0.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,0.00,0.00,3.50,0.00,3.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,2.00,4.00,0.00,4.00,0.00,0.00,6.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,4.00,2.00,0.00,2.00,1.00,1.00,0.00,7.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,3.50,0.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,35.00
2006_IDSS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2006_STDP,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,3.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,2.00,1.50,0.00,0.25,2.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,30.00,0.00,0.00,9.50,0.00,0.00,2.00,2.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50
2007_WPWC,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,1.50,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,4.00,0.00,4.00,2.00,2.00,0.00,7.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,2.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,14.50
2007_SRS1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,3.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
2007_SRS2,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,4.50,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2008_ROWB,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,1.50,0.00,0.00,0.00,0.50,3.00,0.00,1.00,1.50,3.00,0.00,4.00,0.00,1.00,0.00,0.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,12.00
2008_DCSD,0.00,0.00,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.25,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.25,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
2008_IDSS,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.50,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
