sampleyear,sitecode,speciescode,territoryabundance,territorybiomass,sitetype,sitesize,woodcountbelowbrowse,woodcountabovebrowse
2021,BGGR,BRTH,2,136.18892,terrestrial,13.7,204,7
2021,BGGR,NOFL,1,127.1227,terrestrial,13.7,204,7
2021,BGGR,COGR,1,110.557,terrestrial,13.7,204,7
2021,BGGR,EAKI,2.5,98.76125,terrestrial,13.7,204,7
2021,BGGR,CEDW,2,66.208,terrestrial,13.7,204,7
2021,BGGR,CHSP,5,60.9241,terrestrial,13.7,204,7
2021,BGGR,AGOL,2,25.67292,terrestrial,13.7,204,7
2021,BGGR,REVI,1,17.28504,terrestrial,13.7,204,7
2021,BGGR,BAOR,0.5,17.05958,terrestrial,13.7,204,7
1995,DCJS,BHCO,2,92.66916,terrestrial,11.3,1729,0
1995,DCJS,BRTH,2,136.18892,terrestrial,11.3,1729,0
1995,DCJS,CHSP,8,97.47856,terrestrial,11.3,1729,0
1995,DCJS,FISP,4,48.14072,terrestrial,11.3,1729,0
1995,DCJS,KILL,2,117.25038,terrestrial,11.3,1729,0
1995,DCJS,NOMO,1,48.04713,terrestrial,11.3,1729,0
1995,DCJS,NRWS,1,16.15394,terrestrial,11.3,1729,0
1995,DCJS,RWBL,1,58.01993,terrestrial,11.3,1729,0
1995,DCJS,SOSP,11,227.53049,terrestrial,11.3,1729,0
1995,DCJS,TRES,6,129.2919,terrestrial,11.3,1729,0
1999,DCJS,AMRO,1,78.09068,terrestrial,11.3,1183,0
1999,DCJS,BHCO,5,231.6729,terrestrial,11.3,1183,0
1999,DCJS,CHSP,18,219.32676,terrestrial,11.3,1183,0
1999,DCJS,EWPW,2,106.8,terrestrial,11.3,1183,0
1999,DCJS,FISP,10,120.3518,terrestrial,11.3,1183,0
1999,DCJS,KILL,0.5,29.312595,terrestrial,11.3,1183,0
1999,DCJS,SOSP,35,723.96065,terrestrial,11.3,1183,0
1999,DCJS,TRES,6.5,140.066225,terrestrial,11.3,1183,0
1999,DCJS,WISN,2,224.1334,terrestrial,11.3,1183,0
1999,DCJS,YEWA,1.5,14.599323,terrestrial,11.3,1183,0
2000,DCJS,AMRO,1,78.09068,terrestrial,11.3,987,0
2000,DCJS,CEDW,1,33.104,terrestrial,11.3,987,0
2000,DCJS,CHSP,9.5,115.75579,terrestrial,11.3,987,0
2000,DCJS,FISP,5,60.1759,terrestrial,11.3,987,0
2000,DCJS,KILL,1.5,87.937785,terrestrial,11.3,987,0
2000,DCJS,RWBL,2,116.03986,terrestrial,11.3,987,0
2000,DCJS,SOSP,9,186.16131,terrestrial,11.3,987,0
2000,DCJS,TRES,6,129.2919,terrestrial,11.3,987,0
2000,DCJS,YEWA,3.5,34.065087,terrestrial,11.3,987,0
2004,DCJS,AMRO,1,78.09068,terrestrial,11.3,277,0
2004,DCJS,BRTH,1,68.09446,terrestrial,11.3,277,0
2004,DCJS,CHSP,6,73.10892,terrestrial,11.3,277,0
2004,DCJS,COGR,1,110.557,terrestrial,11.3,277,0
2004,DCJS,EAKI,2,79.009,terrestrial,11.3,277,0
2004,DCJS,EATO,1.5,58.41606,terrestrial,11.3,277,0
2004,DCJS,FISP,4,48.14072,terrestrial,11.3,277,0
2004,DCJS,HOFI,1,21.70376,terrestrial,11.3,277,0
2004,DCJS,NHWR,1,10.67315,terrestrial,11.3,277,0
2004,DCJS,MODO,2,263.0432,terrestrial,11.3,277,0
2004,DCJS,NOMO,1,48.04713,terrestrial,11.3,277,0
2004,DCJS,RWBL,2,116.03986,terrestrial,11.3,277,0
2004,DCJS,SOSP,8.5,175.819015,terrestrial,11.3,277,0
2004,DCJS,TRES,2,43.0973,terrestrial,11.3,277,0
2004,DCJS,YEWA,1.5,14.599323,terrestrial,11.3,277,0
2009,DCJS,AMRO,3,234.27204,terrestrial,11.3,446,0
2009,DCJS,BGGN,1,6.024779,terrestrial,11.3,446,0
2009,DCJS,BHCO,3,139.00374,terrestrial,11.3,446,0
2009,DCJS,BRTH,3,204.28338,terrestrial,11.3,446,0
2009,DCJS,CHSP,29,353.35978,terrestrial,11.3,446,0
2009,DCJS,EATO,2.5,97.3601,terrestrial,11.3,446,0
2009,DCJS,EAWP,0.5,7.05,terrestrial,11.3,446,0
2009,DCJS,EUST,1.5,115.601565,terrestrial,11.3,446,0
2009,DCJS,EWPW,1,53.4,terrestrial,11.3,446,0
2009,DCJS,FISP,10,120.3518,terrestrial,11.3,446,0
2009,DCJS,GRCA,2,71.3697,terrestrial,11.3,446,0
