sp_code,sp_common_name_text_format_nhic,sp_scientific_name_NHIC,hab_guild,food_item,nest_guild,forage_behavior,cons_status,bird_S_rank,bird_SARO_status,bird_COSEWIC_status,bird_SARA_status,bird_exotic_status,order,family,genus,coeff_wetness,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,food_foraging_guild_degraaf_2,habitat_foraging_guild_degraaf_2,behaviour_foraging_guild_degraaf_2,food_foraging_guild_degraaf_3,habitat_foraging_guild_degraaf_3,behaviour_foraging_guild_degraaf_3,(g),",+/- SD", N  ,,(g),Month(s),Full Literature Citation,N,,(g),(+/- sd),N
FISP,field sparrow,Spizella pusilla,scrub,insects,ground,ground forager,common bird in steep decline,"S4B,S3N",,,,,Passeriformes,Passerellidae,Spizella,,Omnivore,ground,forage,,,,,,,12,1,1441,0,"males: range 12.0–15.0 g, mean = 13.2 ± 0.85 SD g  females: range 11.4–14.0 g, mean = 13.0 ± 0.72 SD g.",0,"Carey, M., D. E. Burhans, and D. A. Nelson (2008). Field Sparrow (Spizella pusilla), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.103 ","Males n= 23, Females n=17",0,12,1,1441
GRCA,gray catbird,Dumetella carolinensis,open woodlands,insects,shrub,ground forager,low concern,"S5B,S3N",,,,,Passeriformes,Mimidae,Dumetella,,Omnivore,ground,forager,,lower-canopy,forager,,,,36,3,12621,0,"Spring migrants 34.4 g (SD = 3.3, n = 69, range 26.4–42.6). Fall migrants (38.7 g, SD = 3.5, n = 74, range 31.9–56.5","April-June, August-November","Smith, R. J., M. I. Hatch, D. A. Cimprich, and F. R. Moore (2011). Gray Catbird (Dumetella carolinensis), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.167",Fall migrants n=69. Spring migrants n=74,0,36,3,12621
GCFL,great crested flycatcher,Myiarchus crinitus,open woodlands,insects,cavity,flycatching,low concern,S5B,,,,,Passeriformes,Tyrannidae,Myiarchus,,Insectivore,air,sallier,,,,,,,35,3,457,0,"Mean mass of both sexes: 33.5 g ± 3.01 SD (range 27.2–39.6, n = 70",0,"Miller, K. E. and W. E. Lanyon (2014). Great Crested Flycatcher (Myiarchus crinitus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.300 ",Both males and females n=70,0,35,3,457
GHOW,great horned owl,Bubo virginianus,forests,mammals,tree,aerial dive,low concern,S4,,,,,Strigiformes,Strigidae,Bubo,,Carnivore,ground,hawker,,,,,,,0,0,0,0,"Males =1,304g.   Females =1,706g",0,"Artuso, C., C. S. Houston, D. G. Smith, and C. Rohner (2013). Great Horned Owl (Bubo virginianus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.372 ",Males n=895.   Females n=772,0,1505,0,1667
GRHE,green heron,Butorides virescens,marshes,fish,tree,stalking,common bird in steep decline,S4B,,,,,Pelecaniformes,Ardeidae,Butorides,W,Crustaceovore,water,ambusher,Piscivore,water,ambusher,,,,217,N/A,1,0,"Adult 241 g, Immatures 219 g",0,"Davis Jr., W. E. and J. A. Kushlan (1994). Green Heron (Butorides virescens), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.129",Adults n=16. Immatures n=14,0,241,0,16
HAWO,hairy woodpecker,Dryobates villosus,forests,insects,cavity,bark forager,low concern,S5,,,,,Piciformes,Picidae,Dryobates,,Insectivore,bark,gleaner,Frugwore,lower-canopy,gleaner,,,,,,,,,,,,,,,
HOME,hooded merganser,Lophodytes cucullatus,lakes and ponds,fish,cavity,surface dive,low concern,S5,,,,,Anseriformes,Anatidae,Lophodytes,W,Piscivore,freshwater,diver,Insectivore,freshwater,bottom gleaner,Crustaceovore,freshwater,bottom gleaner,0,0,0,0, ,0,0,0,0,0,0,0
HOFI,house finch,Haemorhous mexicanus,towns,seeds,tree,ground forager,low concern,SNA,,,,SE,Passeriformes,Fringillidae,Haemorhous,,Frugivore,ground,gleaner,,,,,,,22,2,346,0,Breeding: 21.4 ± 0.3 g and 22.4 ± 0.1 g during Winter,"July-August, November-March","Badyaev, A. V., V. Belloni, and G. E. Hill (2012). House Finch (Haemorhous mexicanus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.46",0,0,22,2,346
HOWR,house wren,Troglodytes aedon,scrub,insects,cavity,foliage gleaner,low concern,S5B,,,,,Passeriformes,Troglodytidae,Troglodytes,,Insectivore,lower-canopy,gleaner,,,,,,,11,1,2763,0,Male 10.5 ± 0.35 SD g (n = 7).     Females 10.5 ± 0.53 SD g (n = 9),0,"Johnson, L. S. (2014). House Wren (Troglodytes aedon), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.380",Male n=7.      Female n=9,0,11,1,2763
INBU,indigo bunting,Passerina cyanea,open woodlands,insects,shrub,foliage gleaner,low concern,S5B,,,,,Passeriformes,Cardinalidae,Passerina,,Omnivore,lower-canopy,forager,,,,,,,,,,,,,,,,,,
KILL,killdeer,Charadrius vociferus,grasslands,insects,ground,ground forager,low concern,S4B,,,,,Charadriiformes,Charadriidae,Charadrius,,Insectivore,ground,gleaner,,,,,,,59,43,131,0,0,0,0,0,0,59,43,131
LEBI,least bittern,Ixobrychus exilis,marshes,fish,ground,stalking,low concern,S4B,THR,THR,Threatened/Menacée,,Pelecaniformes,Ardeidae,Ixobrychus,W,Piscivore,water,ambusher,Insectivore,water,ambusher,,,,92,14,5,0,"Male mass reported at 78.2 ± 5.25 g. Female mass reported at 73, 80, and 95 g",0,"Poole, A. F., P. E. Lowther, J. P. Gibbs, F. A. Reid, and S. M. Melvin (2009). Least Bittern (Ixobrychus exilis), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.17",Male n=8. Female n=N/A,0,92,14,5
LEFL,least flycatcher,Empidonax minimus,forests,insects,tree,flycatching,common bird in steep decline,S5B,,,,,Passeriformes,Tyrannidae,Empidonax,,Insectivore,air,sallier,,,,,,,10,1,8316,0,Males 10.4+/-0.1 g. Females 10.7+/-0.1 g,0,"Tarof, S. and J. V. Briskie (2008). Least Flycatcher (Empidonax minimus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.99",Male n=54. Female n=44,0,10,1,8316
MAWA,magnolia warbler,Setophaga magnolia,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,lower-canopy,gleaner,,,,,,,9,2,15966,0,8.65g,April-June,"Dunn, E. H. and G. A. Hall (2010). Magnolia Warbler (Setophaga magnolia), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.136",n=9190,0,9,2,15966
MALL,mallard,Anas platyrhynchos,lakes and ponds,omnivore,ground,dabbler,low concern,S5,,,,,Anseriformes,Anatidae,Anas,W,Granivore,ground,gleaner,,,,,,,,,,,,,,,,,,
MAWR,marsh wren,Cistothorus palustris,marshes,insects,shrub,ground forager,low concern,"S4B,S3N",,,,,Passeriformes,Troglodytidae,Cistothorus,W,Insectivore,marsh,gleaner,,,,,,,12,1,82,0,10.0g,All months,"Kale II, H. W. (1965a). Ecology and bioenergetics of the Long-billed Marsh Wren Telmatodytes palustris griseus (Brewster) in Georgia salt marshes. Publ. Nuttall Ornithol. Club, no. 5.",n=77,0,12,1,82
MODO,mourning dove,Zenaida macroura,open woodlands,seeds,tree,ground forager,low concern,S5,,,,,Columbiformes,Columbidae,Zenaida,,Granivore,ground,gleaner,,,,,,,132,15,408,0,126.5g,All months,"Otis, D. L., J. H. Schulz, D. Miller, R. E. Mirarchi, and T. S. Baskett (2008). Mourning Dove (Zenaida macroura), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.117",0,0,132,15,408
NOCA,northern cardinal,Cardinalis cardinalis,open woodlands,seeds,shrub,ground forager,low concern,S5,,,,,Passeriformes,Cardinalidae,Cardinalis,,Omnivore,ground,forager,,,,,,,42,3,1536,0,44.05g,All months,"Halkin, S. L. and S. U. Linville (1999). Northern Cardinal (Cardinalis cardinalis), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.440",n=183,0,42,3,1536
NOFL,northern flicker,Colaptes auratus,open woodlands,insects,cavity,ground forager,low concern,S5,,,,,Piciformes,Picidae,Colaptes,,Insectivore,ground,gleaner,,,,,,,,,,,,,,,,,,
NOHA,northern harrier,,grasslands,mammals,ground,aerial dive,low concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMO,northern mockingbird,Mimus polyglottos,towns,omnivore,shrub,ground forager,low concern,S4,,,,,Passeriformes,Mimidae,Mimus,,Omnivore,ground,forager,,,,,,,48,4,87,0,49.0g,All months,"Farnsworth, G., G. A. Londono, J. U. Martin, K. C. Derrickson, and R. Breitwisch (2011). Northern Mockingbird (Mimus polyglottos), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.7",n=130,0,48,4,87
NRWS,northern rough-winged swallow,Stelgidopteryx serripennis,rivers and streams,insects,burrow,aerial forager,low concern,S4B,,,,,Passeriformes,Hirundinidae,Stelgidopteryx,,Insectivore,air,screener,,,,,,,,,,,,,,,,,,
NSWO,northern saw-whet owl,Aegolius acadicus,forests,mammals,cavity,aerial dive,low concern,S5,,,,,Strigiformes,Strigidae,Aegolius,,Carnivore,ground,hawker,,,,,,,,,,,,,,,,,,
OROR,orchard oriole,Icterus spurius,open woodlands,insects,tree,foliage gleaner,low concern,S4B,,,,,Passeriformes,Icteridae,Icterus,,Insectivore,upper-canopy,gleaner,,,,,,,21,2,353,0,19.57g,May - August,"Scharf, W. C. and J. Kren (2010). Orchard Oriole (Icterus spurius), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.255",n=873,0,21,2,353
PBGR,pied-billed grebe,Podilymbus podiceps,lakes and ponds,aquatic invertebrates,floating,surface dive,low concern,"S4B,S2N",,,,,Podicipediformes,Podicipedidae,Podilymbus,W,Insectivore,freshwater,diver,Crustaceovore,freshwater,diver,,,,0,0,0,0,416g,All months,"Muller, M. J. and R. W. Storer (1999). Pied-billed Grebe (Podilymbus podiceps), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.410",n=76,0,416,0,76
PIWA,pine warbler,Setophaga pinus,forests,insects,tree,bark forager,low concern,"S5B,S3N",,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,bark,gleaner,,,,,,,12,2,44,0,11.9 +/- 1.24,All months,"Rodewald, P. G., J. H. Withgott, and K. G. Smith (2013). Pine Warbler (Setophaga pinus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.438",n=21,0,12,2,44
PROW,prothonotary warbler,Protonotaria citrea,forests,insects,cavity,foliage gleaner,declining,S1B,END,END,END,,Passeriformes,Parulidae,Protonotaria,W,Insectivore,lower-canopy,gleaner,,bark,gleaner,,,,,,,,,,,,,,,
RBWO,red-bellied woodpecker,Melanerpes carolinus,forests,insects,cavity,bark forager,low concern,S5,,,,,Piciformes,Picidae,Melanerpes,,Insectivore,bark,gleaner,Omnivore,ground,forager,,,,,,,,,,,,,,,
RBNU,red-breasted nuthatch,Sitta canadensis,forests,insects,cavity,bark forager,low concern,S5,,,,,Passeriformes,Sittidae,Sitta,,Insectivore,bark,gleaner,,,,,,,,,,,,,,,,,,
REVI,red-eyed vireo,Vireo olivaceus,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Vireonidae,Vireo,,Insectivore,upper-canopy,gleaner,,,,,,,17,2,3817,0,20.825g,Fall,"Cimprich, D. A., F. R. Moore, and M. P. Guilfoyle (2018). Red-eyed Vireo (Vireo olivaceus), version 1.1. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.reevir1.01.1",n=455,0,17,2,3817
RHWO,red-headed woodpecker,Melanerpes erythrocephalus,open woodlands,omnivore,cavity,flycatching,declining,S3,END,END,END,,Piciformes,Picidae,Melanerpes,,Insectivore,air,sallier,,,,,,,71,7,865,0,71.6g +/- 7.6,All months,"Frei, B., K. G. Smith, J. H. Withgott, P. G. Rodewald, P. Pyle, and M. A. Patten (2017). Red-headed Woodpecker (Melanerpes erythrocephalus), version 2.1. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.rehwoo.02.1",n=89,0,71,7,865
RTHA,red-tailed hawk,Buteo jamaicensis,forests,small animals,tree,soaring,low concern,S5,NAR,NAR,,,Accipitriformes,Accipitridae,Buteo,,Carnivore,ground,hawker,,,,,,,,,,,,,,,,,,
RWBL,red-winged blackbird,Agelaius phoeniceus,marshes,insects,shrub,ground forager,low concern,S5,,,,,Passeriformes,Icteridae,Agelaius,,Omnivore,ground,forage,,,,,,,,,,,,,,,,,,
RBGR,rose-breasted grosbeak,Pheucticus ludovicianus,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Cardinalidae,Pheucticus,,Omnivore,upper-canopy,forager,,,,,,,46,4,5615,0,44.6g,May-August,"Wyatt, V. E. and C. M. Francis (2002). Rose-breasted Grosbeak (Pheucticus ludovicianus), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.692",n=125,0,46,4,5615
RTHU,ruby-throated hummingbird,Archilochus colubris,open woodlands,nectar,tree,hovering,low concern,S5B,,,,,Apodiformes,Trochilidae,Archilochus,,Omnivore,floral,hover-gleaner,,,,,,,,,,,,,,,,,,
SAVS,savannah sparrow,,grasslands,insects,ground,ground forager,low concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCTA,scarlet tanager,Piranga olivacea,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Cardinalidae,Piranga,,Insectivore,upper-canopy,gleaner,,,,,,,29,3,836,0,25.0g,Breeding season,"Mowbray, T. B. (1999). Scarlet Tanager (Piranga olivacea), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.479",n=41,0,29,3,836
SSHA,sharp-shinned hawk,Accipiter striatus,forests,birds,tree,aerial dive,low concern,S5,NAR,NAR,,,Accipitriformes,Accipitridae,Accipiter,,Carnivore,air,hawker,,ground,hawker,,,,,,,,,,,,,,,
SOSP,song sparrow,Melospiza melodia,open woodlands,insects,shrub,ground forager,low concern,S5,,,,,Passeriformes,Passerellidae,Melospiza,,Omnivore,lower-canopyforager,ground,,forager,,,,,,,,,,,,,,,,
SORA,sora,Porzana carolina,marshes,seeds,floating,ground forager,low concern,S5B,,,,,Gruiformes,Rallidae,Porzana,W,Omnivore,fresh-marsh,forager,,,,,,,89,40,4,0,73.7g +/- 11.0,Unknown,"Melvin, S. M. and J. P. Gibbs (2012). Sora (Porzana carolina), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.250",n=78,0,89,40,4
SPSA,spotted sandpiper,Actitis macularius,shorelines,small animals,ground,probing,low concern,S5B,,,,,Charadriiformes,Scolopacidae,Actitis,W,Insectivore,shoreline,gleaner,,,,,,,41,11,149,0,37.7g +/- 6.01,July,"Reed, J. M., L. W. Oring, and E. M. Gray (2013). Spotted Sandpiper (Actitis macularius), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.289",n=19,0,41,11,149
SWSP,swamp sparrow,Melospiza georgiana,marshes,insects,shrub,ground forager,low concern,"S5B,S4N",,,,,Passeriformes,Passerellidae,Melospiza,W,Omnivore,ground,forager,,,,,,,16,3,3615,0,17g,Unknown,"Mowbray, T. B. (1997). Swamp Sparrow (Melospiza georgiana), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.279",n=991,0,16,3,3615
TRES,tree swallow,Tachycineta bicolor,lakes and ponds,insects,cavity,aerial forager,low concern,S4S5B,,,,,Passeriformes,Hirundinidae,Tachycineta,,Insectivore,air,screener,,,,,,,22,2,16816,0,21.2g,Breeding season,"Winkler, D. W., K. K. Hallinger, D. R. Ardia, R. J. Robertson, B. J. Stutchbury, and R. R. Cohen (2011).Tree Swallow (Tachycineta bicolor), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.11",Unknown,0,22,2,16816
VEER,veery,Catharus fuscescens,forests,insects,ground,ground forager,low concern,S5B,,,,,Passeriformes,Turdidae,Catharus,,Omnivore,ground,forager,,lower-canopy,forager,,,,32,3,3145,0,32.4g +/- 3.2,Unknown,"Heckscher, C. M., L. R. Bevier, A. F. Poole, W. Moskoff, P. Pyle, and M. A. Patten (2017). Veery(Catharus fuscescens), version 3.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.veery.03",n=118,0,32,3,3145
VESP,vesper sparrow,,grasslands,insects,ground,ground forager,low concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIRA,Virginia rail,Rallus limicola,marshes,aquatic invertebrates,ground,probing,low concern,S4S5B,,,,,Gruiformes,Rallidae,Rallus,W,Insectivore,marsh,prober,Molluscovore,marsh,prober,,,,81,13,6,0,84.1g +/- 14.5,Fall,"Kaufmann, G. W. (1987). Growth and development of Sora and Virginia Rail chicks. Wilson Bull. no. 99:432-440.",n=147,0,81,13,6
WAVI,warbling vireo,Vireo gilvus,open woodlands,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Vireonidae,Vireo,,Insectivore,upper-canopy,gleaner,,,,,,,13,1,1179,0,13.51g +/- 1.43,Unknown,"Gardali, T. and G. Ballard (2000). Warbling Vireo (Vireo gilvus), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.551",n=75,0,13,1,1179
WBNU,white-breasted nuthatch,Sitta carolinensis,forests,insects,cavity,bark forager,low concern,S5,,,,,Passeriformes,Sittidae,Sitta,,Insectivore,bark,gleaner,,,,,,,21,1,125,0,21.1g +/- 2.4,Unknown,"Grubb Jr., T. C. and V. V. Pravosudov (2008). White-breasted Nuthatch (Sitta carolinensis), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.54",n=266,0,21,1,125
WEVI,white-eyed vireo,Vireo griseus,scrub,insects,shrub,foliage gleaner,low concern,S1B,,,,,Passeriformes,Vireonidae,Vireo,,Insectivore,lower-canopy,gleaner,,,,,,,11,1,163,0,11.93g,Spring-summer,"Hopp, S. L., A. Kirby, and C. A. Boone (1995). White-eyed Vireo (Vireo griseus), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.168",n=94,0,11,1,163
WTSP,white-throated sparrow,Zonotrichia albicollis,forests,seeds,ground,ground forager,low concern,S5,,,,,Passeriformes,Passerellidae,Zonotrichia,,Omnivore,ground,forager,,,,,,,26,2,32059,0,25.9g +/- 2.2,Unknown,"Falls, J. B. and J. G. Kopachena (2010). White-throated Sparrow (Zonotrichia albicollis), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.128",n=1884,0,26,2,32059
WITU,wild turkey,Meleagris gallopavo,open woodlands,omnivore,ground,ground forager,low concern,S5,,,,,Galliformes,Phasianidae,Meleagris,,Omnivore,ground,forager,,,,,,,no data on lpbo banding ,0,0,0,4130g,Early-late winter,"McRoberts, J. T., M. C. Wallace, and S. W. Eaton (2014). Wild Turkey (Meleagris gallopavo), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.22",Unknown,0,4130,0,0
WIFL,willow flycatcher,Empidonax traillii,marshes,insects,shrub,flycatching,low concern,S4B,,,,,Passeriformes,Tyrannidae,Empidonax,W,Insectivore,air,sallier,,,,,,,,,,,,,,,,,,
WISN,Wilson's snipe,Gallinago delicata,marshes,aquatic invertebrates,ground,probing,low concern,S5B,,,,,Charadriiformes,Scolopacidae,Gallinago,W,Vermivore,ground,prober,,,,,,,,,,,,,,,,,,
WIWR,winter wren,Troglodytes hiemalis,forests,insects,cavity,ground forager,low concern,"S5B,S4N",,,,,Passeriformes,Troglodytidae,Troglodytes,,Insectivore,ground,gleaner,,,,,,,8,1,283,0,8.9g +/- 0.20,Unknown,"Hejl, S. J., J. A. Holmes, and D. E. Kroodsma (2002). Winter Wren (Troglodytes hiemalis), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.623",n=54,0,8,1,283
WODU,wood duck,Aix sponsa,lakes and ponds,plants,cavity,dabbler,low concern,"S5B,S3N",,,,,Anseriformes,Anatidae,Aix,W,Granivore,ground,gleaner,,freshwater,surface gleaner,,,,0,0,0,0,657.5g,Fall-winter,"Hepp, G. R. and F. C. Bellrose (2013). Wood Duck (Aix sponsa), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.169",n=551,0,658,0,551
YWAR,yellow warbler,Setophaga petechia,open woodlands,insects,shrub,foliage gleaner,low concern,S5B,,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,lower-canopy,gleaner,,,,,,,10,1,10419,0,9.8g  ,May,"Biermann, G. C. and S. G. Sealy. (1985). Seasonal dynamics of body mass of insectivorous passerines breeding on the forested dune ridge, Delta Marsh, Manitoba. Can. J. Zool. no. 63:1675-1682.",n=318,0,10,1,10419
YBCU,yellow-billed cuckoo,Coccyzus americanus,open woodlands,insects,tree,foliage gleaner,common bird in steep decline,S4B,,,,,Cuculiformes,Cuculidae,Coccyzus,,Insectivore,lower-canopy,gleaner,,,,,,,58,7,94,0,60.7g,Spring-summer,"Hughes, J. M. (2015). Yellow-billed Cuckoo (Coccyzus americanus), version 2.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.418",n=7,0,58,7,94
YTVI,yellow-throated vireo,Vireo flavifrons,open woodlands,insects,tree,foliage gleaner,low concern,S4B,,,,,Passeriformes,Vireonidae,Vireo,,Insectivore,upper-canopy,gleaner,,,,,,,17,1,59,0,18.0g +/- 1.63,Breeding season,"Rodewald, P. G. and R. D. James (2011). Yellow-throated Vireo (Vireo flavifrons), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bna.247",n=16,0,17,1,59
