sample,year,sitecode,ABDU,AGOL,AGOS,AMBI,AMCR,AMKE,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BEKI,BGGN,BHCO,BLBW,BLJA,BOBO,BRCR,BRTH,BTNW,CANG,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COHA,CONI,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EAPH,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOFI,HOME,INBU,KILL,LEBI,LEFL,MALL,MAWA,MAWR,MODO,NHWR,NOCA,NOFL,NOMO,NRWS,NSWO,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SORA,SOSP,SPSA,SSHA,SWSP,TRES,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WIWR,WODU,WTSP,YBCU,YEWA,YTVI,(blank)
2008_ROWB,2008,ROWB,,,,,,,,1,1,,,6,,1,,,1,,3,,,,,,,,,,,1,,,5,,,1,,1.5,,,,0.5,3,,1,1.5,3,,4,,1,,,1,,,,,,,1,10,,0.5,,,,,,,,,,2,2,,1,,5,,,,,,,3,,,,,,,,,,,,1,12,,
2008_ROWP,2008,ROWP,,,,,,,,1.5,1,,,3,,,,,,,,,,,,,,,,1,,,,,1,,,1,,3,,,,,5,3,1,,,,4,,,,,,,,,,,,1,3,,,,,,,,,,,,,4,,,1,12.5,,,1,,,,3,,,2,,,,,,,,,,10,,
2009_DCJS,2009,DCJS,,,,,,,,3,,,,,,,,1,3,,,,,3,,,,,,29,,,,,,,,,,,,,,2.5,0.5,1.5,1,10,,,2,,,1,,,1,,,,,,2,2.5,,,2.5,,,,,,,,,,,,,,,,,7.5,,,,2.5,,,,,,,,,,,,,8.5,,
2009_ROIS,2009,ROIS,,,,,,,3,3,1,,,5,,1,,,1,,,,,,,,,,,,,3,,,4,,,2,1,2,,,,,4,,,,1,,4,,,,,1,,,2,,,,2,8,2,1,,,,1,,,,,,,3,,,,7.5,,,7,,,0.5,5,,,2,,,1,,,,,,1,16,,
2009_ROMF,2009,ROMF,,,0.25,,,,9,2,1,,,6,,1,,1,1,,1,,,,,,,,,,,1,,,2.5,,,2,,1,,,1,2,7,1,1,,3,,4,,,,,2,,,3,,,,,11,1,1,,,,,,,,,,2,2,,0.5,,3.5,1,,3,,,0.5,8,1,,1,,,,,,,,,,10,,
2009_ROMS,2009,ROMS,,,,,,,,3,,,,6,,1,,,2,,1,,,,,,,,1,,1,2,,,5,,,,,2.5,,,,1,5,1,,,,,6.5,,,,,,,,,,,,,11,,1,,,0.25,,,,,,,,1,,,2,9.5,,,6.5,,,,5,,,,1,,,,,,,,,15,,
2009_STDP,2009,STDP,,,,,,,,0.25,,,,0.25,,,,,,,,,,,,,,,5,0.5,,,,,5,,,,,5,,,,0.5,,,0.5,1.5,0.25,,2,,,,1,,,,,,,,0.25,1,,,,,,,,,,,,,,,,,29,,,6,,,0.5,,,,,,,,,,,,,,9,,
2009_TMSL,2009,TMSL,,,,,,,,4,,,,3,,3,,3,1,,,,,3,,,,,,4.5,,2,,,7,,,,,3,,,,5,2,,1.5,0.5,,1,11,,,,,,,,2,,,,2,8.5,1,,,,,,,,,,,,2,,,,13.5,,,6,,,1.5,7,,,,,,1,,,,,,,27.5,,
2010_DCJS,2010,DCJS,,,,,,,,0.5,,,,,,,,1,2,,,,,1.5,,,,,,19.5,,,,,,,,,,,,,,1,,1,,8.5,,,0.5,,,,,,1.5,,,,,,1.5,1,,,1,,,,,,,,,,,,,,1,,,6.5,,,,4,,,,,,,,,,,,,8.5,,
2010_RARO,2010,RARO,,,,,,,,,2,,,5,,2,,1,1,,,,,,,,,,,,,2,,,12.5,,,2,,3,,,,3,5,4,1.5,5,2,,3,,,,,3.5,,,3,,,,2,11.5,2,1,,,,4,,,,,,,4,,,,12,,,9,,,,6,,,4,,,,,,,,,,29,,
2010_ROIS,2010,ROIS,,,,,,,1,3,,,,3,1,2,,,1,,1,,,,,,,,2,,,2,,,8,,,3,,2,,,1,1,6,4,,,2.5,,6,,,,,,,,,,,,0.25,8.5,2,2,,,,,,,,,,,,,,,8,,,6.5,,,,7,,,6,,,1,,,,,,,12,,
2010_ROMF,2010,ROMF,,,,,,,6.5,1,1,,,6,,,,1,2,,1,,,,,,,,,,,2,,,5.5,,,4,,2,,,,4,6,1,2,1,4,,9,,,,,3.5,,,,,,,,19.5,1,2,,,,,,,,,,2,6,,0.25,2,5,,,8,,,,23,,,3,1,,,,,,,,2,24.5,,
2010_ROMS,2010,ROMS,,,,,,,,2,,,,3,,2,,1,2,,2,,,,,,,,,,,,,,6,,,4,,3,,,,2,6,4,,1,4,,4,,,,,,,,,,,,,12,1.5,2,,,,,,,,,,,1,,,,9.5,,,9.5,,,0.25,6,,,6,1,,0.5,,,,,,,16,,
2010_SRS1,2010,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,0.25,,,,,,,0.5,8,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,,,
2010_SRS2,2010,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,
2011_BGGR,2011,BGGR,,3,,,,,,,,,,,,,,,1,,,,,3.5,,,,,1,2,,,,,5,,,,,,,,,2,,,,11,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,12,,,2,,,,1,,,,,,,,,,,,,6,,
2011_IDSS,2011,IDSS,,,,,,,,2,1,,,,,,,,2,,,,,2,,,,,,11,,,,,1.5,,,,,3,,,,,,,,10,,,3,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,4,,,5,,,,5,,,,,,,0.5,,,,,,7,,
2011_STDP,2011,STDP,,1,,,,,,2,,,,2,1,,,,,,,,,1,,,,,1,,,,,,6,,,,,3.5,,,,1,0.5,,2,2,1,,1,,,,1,,,,1,,,,0.5,3,,,,,,,2,,,,,,,,,,29,,,6.5,,,,,,,1,,,,,,,,,,15,,
2012_DCJS,2012,DCJS,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,,17,,1,,,1,,1,,,2,,,,3,,,4,9,0.5,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,1.5,,,10.5,,,,5,,,,,,,1,,,,,,8,,
2012_IDSS,2012,IDSS,,,,,,,,,,,,,,,,,2,,,1,,2,,,,,2,7,,,,,,,,,,3,,,,,,,1,9,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,6,,,,5,,,,,,,,,,,,,6,,
2012_TMSL,2012,TMSL,,1,,,,,,3,1,,,2,,3,,,1,,,,,1,,,,,1,4,,2,,,10,,,,,1.5,,,,10,,,4,2,3,,10,0.5,,,,,,,,,,2,4,1,3,,,,,,,,,,1,,,,,,13,,,5,,,2,5,,,,,,1,0.5,,,,,2,20,,
2012_WPWC,2012,WPWC,,,,,,,,2,,,,2,,2,,,1,,,,,,,,1,,1,5,,,0.5,,7,,,,,1.5,,,,6,,,2,1,,,11,,,,,,,,,,,,1,10,,,,,,,,,,,,,5,,,,3,,,2,,,,2,,,,,1,,,,,,,,28,,
2013_DCSD,2013,DCSD,,,,,,,,,,,,1,,,,,,,,,,0.5,,,,,,7,,,,,,,,,,1,,,,0.5,2,,1,8,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,4,,,,,,,4,,,1,,,,,,,,,,1,,
2013_ROWB,2013,ROWB,,,,,,,,2,,,,3,,3,,,2,,2,,,1,,,,,,,,,,,9,,,2,,0.25,,,1,2,5,1,3,,5,,6.5,,,,,,,,,,,,2,8,3,2,,,,,,,,,,,4,,0.5,,7.5,,,,,,,4,,,,,,,,,,1,,,9,,
2013_SRS1,2013,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,1,,,,,,1.5,,
2013_SRS2,2013,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1.5,,,,,,,,,,,,,,,,,1,,
2016_BGGR,2016,BGGR,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,6,,,,,3,,,,3,,,0.25,8,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,11,,,1,,,,1,,,,,,,,,,,,,15,,
2016_DCJS,2016,DCJS,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,17.5,,,,,0.5,,,,,2,,,,3,,,,10,1,,0.25,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,1,,,,,,,,,,,,,3.5,,
2016_DCSD,2016,DCSD,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,1,4,,,,,0.25,,,,,2,,,,1,,,,7,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,3,,,0.5,,,,,,,,,,,,,,,,,6,,
2016_IDSS,2016,IDSS,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,7.5,,,,,4,,,,,3,,,,1,,1,,10.5,1.5,,1,,,,,,,,,,,,,2,,,1.5,,,,,,,,,,,,,,4,,,,,,,6,,,,,,,,,,,,,1,,
2016_RARO,2016,RARO,,,,,,,,,,,1,3,,,,1,1,,1,,,,,,,,,,,1,,,10,,,1,,5,,,1,4,6,2,2,4,3,,5,,,,,3,,,,,,,1,8,1,1,,,,2,,,,,,1,5.5,,,1,12,,,1,,,1,5,,,2,1,,,,,,,,2,28,,
2016_ROIS,2016,ROIS,,1,,,,,6,3.5,2,,,3,,4,,3,3,,,,,2,,,,,,,1,0.25,,,9.5,,,0.5,,4,,,,,7,2,,,2,,6,,,,,2,,,3,,,1,3,13.5,1,2,,,,0.25,,,,,,,6.5,,,,15,,,4.5,,,,4,,,8.5,2,,,,,,,,1,46,,
2016_ROMF,2016,ROMF,,,,,0.5,,7,2,,,,5.5,,2,,3,,,1,,,,,,,,,,1,4,,,9,,,2,,3,,,,0.5,7,,1,,4,,7,,1,,,5,,,,,,,,10,2,3,,,,1.5,,,,2,,2,9,,,1.5,7,,,3,,,,7,,,1.5,1,,,,,,,,2,22,,
2016_ROMS,2016,ROMS,,,,,,,0.5,3,1,,,5,,3,,1.5,3,,1,,,,,,,,,,1,2,,,10,,,2,,5,,,,1,10,1,2,,2,,7,,,,,6,,,,,,,2,11.5,2,2,,,,1,,,,,,2,9,,,0.25,15,,,5,,,,2,,,9,1,,,,,,,,2,35,,
2016_ROWB,2016,ROWB,,,,,,,0.25,2,,,,5,,2,,,,,2,,,1,,,,,,0.25,,2,,,9,,,,,3,,,,2,4.5,1,1,,4,,4,,,,,,,,,,,,3,7,,3,,,,,,,,,,,6,,,,8.5,,,,,,1.5,3,,,4,,,,,,,,,2,11,,
2016_ROWP,2016,ROWP,,,,,,,1,2.5,1,,,3,,,,,,,,,,1,,,,,,2,2,2,,,11,1,,,,4,,,,1,5,2,,,,,5,,,,,,,0.5,,,,,3,3,,2,,,,1,,,,,,,1,,,1,22,,,2.5,,,0.5,2,,,6,,,,,,,,,1,21,,
2016_SRS1,2016,SRS1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,1,,,,,,,,2.5,,,,,,,,,1,,,,,,,,,0.25,,,,,,,,,,,,,,,10,,,3,,,,,,,,,,,,,,,,,2,,
2016_SRS2,2016,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.25,,,,,1,,,,0.5,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,0.5,,,,,,2.5,,
2016_STDP,2016,STDP,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,2.5,,,,,13.5,,,,,4,,,,1,,,,2,,,,,,,1,,,,,,,,2,2,,,,,,,1,,,,,,,,,,32,,,5,,,2,1,,,,,,,,,,,,,17.5,,
2016_TMSL,2016,TMSL,,,,,1,,1,1,,,,,,4,,,,,1,,,1,,,,,,5.5,,,,,6,,,,,3,,,,3,,,1,1,1,,3,,,,,1,,,,,,3,4,4,2,,,,,,,,,,,,2,,,,13,,,2,,,3,1,,,,,1,,,,,,,1,28,,
2016_WPWC,2016,WPWC,,,,,,,1,4,,,,1,,3,,,1,,1,,,,,,,,,5,,1,,,9,,,,,3,,,,6,1,,1,1,1,,8,,,,,,,,,,,,4,11,2,1,,,,,,2,,,,,7,,,,3,,,3,,,,1,,,,,,,,,,,,0.5,19,,
2017_RARO,2017,RARO,,,,,,,,,3,,,2,1,,,,,,1,,,,,,,,,,,1,,,8,,,,,3,,,,2,2,,,2.5,,,3,,,,,1,,,,,,,,11,1,,,,,,,,,,,,3,,,,15,,,,,,1.5,1,,,,1,,,,,,,,2,12,,
2017_ROWB,2017,ROWB,,,,,,,,,2,,,3,,2,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,2,3,1,4,,2,,2,,,,,,,,2,,,,1,6,,1,,,,,,,,,,1,3,,,,5,,,,,,,2,,,,,,,,,,,,2,19,,
2017_ROWP,2017,ROWP,,,,,,,1,2,,,,2,,1,,,,,1,,,1,,,1,,2,1,1,3,,,11,,,1,,5,,,1,2,8,5,,,2,,6,,,,,,,,1,,,6,2,3,1,1,,,,,,,,,,,4,,,1,18,,,2,,,4,5,,,9,,,,,,,1,,,25,,
2017_TMSL,2017,TMSL,,,,,,,,2,1,,,,1,2,,,,,,,,,,,,,0.5,2,,,,,7,,,,,1,,,,2,1,,1,,0.5,,3,,,,,2,,,,,,1,,1,,0.25,,,,,,,,,,,1,,,,6,,,2,,,1,,,,,,1,,,,,,,2,20.5,,
2017_WPWC,2017,WPWC,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,2,,,,,3,,,,,1,,,,2,,,3,,,,1,,,,,,,,,,,,2,3.5,1,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,14,,
2018_DCJS,2018,DCJS,,,,,,,,2,,,,,,,,1,,,,,,3,,,,,,14,,,,,,,,,,1,,,,4,,2,2,9,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,3,,,,1,,,,,,,,,,,,,8.5,,
2018_IDSS,2018,IDSS,,,,,,,,1,1,,,,,,,1,,,,,,3,,,,,,7,,1,,,,,,,,2,,,,2,,1,1,8,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,6,,,4,,,,1,,,,,,,,,,,,0.5,2,,
2018_ROMF,2018,ROMF,,,,,,,5,3.5,1,,,5,,2,,1,,,,,,,,,,,,,0.25,1,,,15,,,2,,3.5,,,,,9.5,5,2,,3,,6.5,,,,,3,,,,,,,2,16,1,2,,,,,,,,,,2,13,,,,3,,,0.5,,,,2,,,6,2,,,,1,,,,1,18,1,
2018_ROMS,2018,ROMS,,,,,,,2.5,1,1,,,7,,1,,4,2,,,,,,,,,,,,2,1,,,11.5,,,2,0.5,6,,,,,8.5,4,1.5,,2,,11,,,,,3,,,,,,,2,16,2,3,,,,1,,,,,,2,15,1,1,,15,,,7,,,,4,,,10,2,,0.5,,0.25,,,,2,37.5,1,
2018_STDP,2018,STDP,,1,,,,,,2,,,,3,,1,,,,,0.5,,,4,,,,,,5,,1,,,14,,,,,3,,,,7,,,,5,0.25,,,,,,1,,,,,,,1,4,4,,1,,,,2,2,,,,,,,,,,16,,,9,,,,3,,1,2,,,,,,,,,1,17.5,,
2019_RARO,2019,RARO,,,,,,,,1,2,,,4,,1,,1,,,,,,0.25,,,,,1,,,2.5,,,14,,,2,,4,,,,0.5,4,1,2.5,2,2,,3.5,,,,,,,,,,,,2,11,1,2,,,,,,,,,,,5.5,,,,22,,0.25,1,,,0.5,4,,,4,1,,,,,,0.25,,,11.5,,
2019_ROIS,2019,ROIS,,,,,,,2,2,2,1,,3,1,,,1,,,0.5,,,,,,,,,,,3,,,10,,,1,,6,,,,,4,4,,,2,,6,1,,,,3,,1,1,,,4,2,14.5,1.5,2,,,,1,,,,,,2,6,,,,24,,,4,,,,4,,,15,1,,0.5,,,,3,,,35,,
2019_ROMS,2019,ROMS,,,,,,,3,2,,,,5.5,,2,,4,1,,1,,,,,,,,,,0.25,2,,,10,,,1,,6.5,,,,,6,5,1,,3,,9,,1,,,3,,,,,,,1,17.5,1,2,,,,1,,,,,,1,11.5,,,0.25,16,,,7,,,,5,,,12.5,1,,,,,,,,,41,,
2019_ROWB,2019,ROWB,,,,,,,4,2.5,,,,3,,3,,1,,,2,,,2,,,,,,1,,1,,,5.5,,,1,,1,,,,2,4,1,5,,2,,3,,,,,,,,,,,,3,8,,1,,,,,,,,,,2,6,,,,10.5,,,,,,,,,,,,,,,,,,,2,11.5,,
2019_ROWP,2019,ROWP,,,,,,,,2,2,,,2,,2,,,,,,,,,,,,,,,,5,,,7,,,1,,6.5,,,,1,5,4,,,,,7,,,,,,,1,,,,1.5,4,1,1,1,,,,,,,,,,,7,,,1,25,,,6,,,,4,,,7,,,,,,,3,,,23,,
2021_BGGR,2021,BGGR,,2,,,,,,,,,,0.5,,,,,,,,,,2,,,,,2,5,,1,,,14,,,,,2.5,,,,7,,,,12.5,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,1,,,,14,,,,,,,,,,,,,,,0.5,,,,,18.5,,
2021_DCJS,2021,DCJS,,,,,,,,,2,,,,,2,,1,2,,,,,3,,,,,1,17.5,,1,,,0.25,,,,,1.5,,,,6,,,,16,,,,,,,,,,,,,,,1,0.25,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,8,,
2021_DCSD,2021,DCSD,,,,,,,,,,,,,,1.5,,1,,,,,,1,,,,,,4.5,,,,,,,,,,0.5,,,,1,,,0.5,14.5,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,2.5,,,,,,,0.5,,,,,,,,,,,,,3,,
2021_IDSS,2021,IDSS,,,,,0.5,,,1,2,,,,,1,,,,,,,,5,,,,,,4,,4,,,,,,,,2,,,,,,2,2,11,,,1,,,,,,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,8,,,2,,,,1,,,,,,,,,,,,,,,
2021_RARO,2021,RARO,,,,,,,3,2,1,,,4,,1,,1,3,,1,,,,,,,,,,,2,,,11.5,,,1,,3.5,,,1,1,4.5,1,2,2,3,,4,,,,,2.5,,,1,,,,1.5,20.5,1,,,,,,,,,,,,6,,,,16.5,,,1,,,0.25,5,,,5,0.5,,,,0.5,,,,1,28,,
2021_ROIS,2021,ROIS,,,,,,,1,6,1,1,,5.5,,3,,4,1,,0.5,,,,,,,,,,,4,,,9.5,,,1,,8.5,,,1,,9,9,,,2,,3,,,,,,,,,1,,,2,18,1,2,,,,1,,,,,,,5,,,,39.5,,,1,,,,7,,1,16.5,2,,1,,,,0.5,,2,42.5,,
2021_ROMF,2021,ROMF,,,,,,,8,2.5,1,,,11,,,,,2,,1,,,,,,,,,,0.25,7,,,7,,,,,3.5,,,,,6.5,2,3,,5,0.5,3,,,,,1,,,,,,,2,10,1,2,,,,,,,,,,2,16,,,0.25,11.5,,,,,,0.5,6,,,9,1,,,,1,,1,,2,15.5,,
2021_ROMS,2021,ROMS,,,,,,,1,3,1,1,,7.5,,2,,4,2,,3,,,,,,,,,,0.25,3,,0.25,8,,,2,,7,,,2,,12,2,,,3,,10,,,,,,,,,,,,0.5,27.5,1,2,,,,,,,,,,1.5,14,,0.5,1,31.5,,,1,,,,10,,1,15,,,,,,,,,2,47,,
2021_ROWB,2021,ROWB,,,,,,,3,3,,1,,3,,1,,,1,,2,,,0.25,,,,,,,1,2,,,10.5,,,1,,2,,,1,1,4,2,2,,2,,4,,,,,2,,,,,,,4,10,,1,,,,,,,,,,1.5,8.5,,,,10,1,,,,,1,4,,,,0.25,,,,1,,,,3,8.5,,
2021_ROWP,2021,ROWP,,,,,1,,1,1,2,1,,2,,1,0.25,,,,,,,,,,,,1,,1,3,,,10,,,,,5.5,,,1,,3,2,,,,,5,1,,,,,,,,,,3,4,4.5,2,,,,,2,,,,,,,2,,,1,28,,,,,,,3,,,7,,,0.25,,,,1,,2,24,,
2021_SRS1,2021,SRS1,,,,1,,,,0.5,,,,,,,,,,,,,,2,,,,,,4,,1,,,,,,,,1,,,,,,,,6,,,,,,,,,0.5,,,1.5,,,,2,,,,,,,,,,,,,,,,,26,,,,,,,0.25,,,,,,,,,,,,,5.5,,
2021_SRS2,2021,SRS2,,,,0.5,,,,,,,,,,,,,,,,,,0.25,,,,,,2,,,,,2,,,,,1.5,,,,,,,,2.5,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,13,,,2.5,,,,,,,,,,,,,,,,,6,,
2021_STDP,2021,STDP,,1,,,,,,0.25,,,,1,,2,,,1,,0.5,,,2.5,,,,,1,3,,2,,,15,,,,,4,,,,4.5,,,,2.5,,,,,,,,,,,,1,,,1.5,2,0.5,,,,,,2,,,,,,,,,,15.5,,,2,,,,3,,,,,,,,,,,,0.25,17.5,,
2021_TMSL,2021,TMSL,,,,,,,,2.5,2,,,,,3,,,,,3,,,0.5,,,2,,,2.5,,3.5,,,10,,,,,1.5,,,,5,,,,0.5,3.5,,4,0.5,1,,,0.5,,,,0.25,,1.5,3,0.25,4,,,,,,,,,,,,2,,,,20.5,,,0.5,,,,2,,,,,,,,,,2,,3,19,,
2021_WPWC,2021,WPWC,,,,,,,,3,0.5,,,,,2,,,,,1,,,,,,0.5,,1,3.5,,1,,,6,,,,,1.5,,,0.5,7,3,,1,,2,,2,,0.5,,,,,,,,,,2.5,11,2,,,,,,,2,,,,,6,,,,0.5,,,1,,1,,,,,,,,,,,,,,1,1.5,,
