uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_BGGR_WBNU,1991_BGGR,1991,BGGR,WBNU,0
1991_BGGR_WEVI,1991_BGGR,1991,BGGR,WEVI,0
1991_BGGR_WIFL,1991_BGGR,1991,BGGR,WIFL,0
1991_BGGR_WISN,1991_BGGR,1991,BGGR,WISN,0
1991_BGGR_WITU,1991_BGGR,1991,BGGR,WITU,0
1991_BGGR_WIWR,1991_BGGR,1991,BGGR,WIWR,0
1991_BGGR_WODU,1991_BGGR,1991,BGGR,WODU,0
1991_BGGR_WTSP,1991_BGGR,1991,BGGR,WTSP,0
1991_BGGR_YBCU,1991_BGGR,1991,BGGR,YBCU,0
1991_BGGR_YEWA,1991_BGGR,1991,BGGR,YEWA,0
1991_BGGR_YTVI,1991_BGGR,1991,BGGR,YTVI,0
1991_DCJS_ABDU,1991_DCJS,1991,DCJS,ABDU,0
1991_DCJS_AGOL,1991_DCJS,1991,DCJS,AGOL,0
1991_DCJS_AGOS,1991_DCJS,1991,DCJS,AGOS,0
1991_DCJS_AMBI,1991_DCJS,1991,DCJS,AMBI,0
1991_DCJS_AMCR,1991_DCJS,1991,DCJS,AMCR,1
1991_DCJS_AMKE,1991_DCJS,1991,DCJS,AMKE,0
1991_DCJS_AMRE,1991_DCJS,1991,DCJS,AMRE,0
1991_DCJS_AMRO,1991_DCJS,1991,DCJS,AMRO,0
1991_DCJS_AMWO,1991_DCJS,1991,DCJS,AMWO,0
1991_DCJS_BAEA,1991_DCJS,1991,DCJS,BAEA,0
1991_DCJS_BANS,1991_DCJS,1991,DCJS,BANS,0
1991_DCJS_BAOR,1991_DCJS,1991,DCJS,BAOR,0
1991_DCJS_BBCU,1991_DCJS,1991,DCJS,BBCU,0
1991_DCJS_BCCH,1991_DCJS,1991,DCJS,BCCH,0
1991_DCJS_BEKI,1991_DCJS,1991,DCJS,BEKI,0
1991_DCJS_BGGN,1991_DCJS,1991,DCJS,BGGN,0
1991_DCJS_BHCO,1991_DCJS,1991,DCJS,BHCO,0
1991_DCJS_BLBW,1991_DCJS,1991,DCJS,BLBW,0
1991_DCJS_BLJA,1991_DCJS,1991,DCJS,BLJA,0
1991_DCJS_BOBO,1991_DCJS,1991,DCJS,BOBO,0
1991_DCJS_BRCR,1991_DCJS,1991,DCJS,BRCR,0
1991_DCJS_BRTH,1991_DCJS,1991,DCJS,BRTH,0
