Orig Line,Full Site Name,Year at size,Area (ha) in year,Stage,Year,Species,# Territories,Number of visits,Census hours,Author1,Author2,Author3,Author4,Author5,Author6,Notes
599,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,EAKI,1.5,10,28.00,J. Hough,,,,,,
600,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,AMRO,1.0,10,28.00,J. Hough,,,,,,
601,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,BHCO,1.0,10,28.00,J. Hough,,,,,,
602,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,BLJA,1.0,10,28.00,J. Hough,,,,,,
603,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,CAWA,1.0,10,28.00,J. Hough,,,,,,
604,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,CEDW,1.0,10,28.00,J. Hough,,,,,,
605,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,CWWI,1.0,10,28.00,J. Hough,,,,,,
606,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,YSFL,1.0,10,28.00,J. Hough,,,,,,
607,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,TRES,1.0,10,28.00,J. Hough,,,,,,
608,White Pine - White Cedar Savannah,1991,9.25,Middle,1991,COGR,0.5,10,28.00,J. Hough,,,,,,
609,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,EUST,+,14,42.75,R. Goodyear,,,,,,
610,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,SOSP,+,14,42.75,R. Goodyear,,,,,,
611,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,TRES,6.0,14,42.75,R. Goodyear,,,,,,
612,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,EAKI,4.0,14,42.75,R. Goodyear,,,,,,
613,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,SPSA,3.0,14,42.75,R. Goodyear,,,,,,
614,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,BAOR,2.0,14,42.75,R. Goodyear,,,,,,
615,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,FISP,2.0,14,42.75,R. Goodyear,,,,,,
616,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,HOWR,2.0,14,42.75,R. Goodyear,,,,,,
617,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,RWBL,2.0,14,42.75,R. Goodyear,,,,,,
618,Dry Cottonwood Sand Dune,1991,10.00,Early,1992,CHSP,1.5,14,42.75,R. Goodyear,,,,,,
619,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,CARW,+,13,40.30,J. Wojnowski,D. Goodyear,,,,,
620,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,RWBL,11.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
621,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,HOWR,10.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
622,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,SOSP,7.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
623,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,EUST,6.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
624,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,TRES,6.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
625,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,REVI,5.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
626,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,YWAR,5.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
627,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,COGR,5.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
628,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,EAKI,5.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
629,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,EAWP,5.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
630,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,BAOR,4.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
631,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,COYE,3.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
632,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,BHCO,2.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
633,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,FISP,2.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
634,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,YSFL,2.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
635,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,GCFL,1.5,13,40.30,J. Wojnowski,D. Goodyear,,,,,
636,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,AMKE,1.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
637,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,AMWO,1.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
638,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,BLJA,1.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
639,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,DOWO,1.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
640,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,WAVI,1.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
641,Red Ash - Red Oak Savannah,1991,10.25,Late,1992,WODU,1.0,13,40.30,J. Wojnowski,D. Goodyear,,,,,
642,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,RWBL,24.0,14,48.00,J. Wojnowski,,,,,,
643,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,HOWR,18.0,14,48.00,J. Wojnowski,,,,,,
644,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,SOSP,14.0,14,48.00,J. Wojnowski,,,,,,
645,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,YWAR,11.5,14,48.00,J. Wojnowski,,,,,,
646,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,EAWP,9.5,14,48.00,J. Wojnowski,,,,,,
647,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,TRES,9.0,14,48.00,J. Wojnowski,,,,,,
648,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,COYE,8.5,14,48.00,J. Wojnowski,,,,,,
649,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,EAKI,8.5,14,48.00,J. Wojnowski,,,,,,
650,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,BAOR,6.5,14,48.00,J. Wojnowski,,,,,,
651,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,EUST,6.5,14,48.00,J. Wojnowski,,,,,,
652,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,COGR,5.0,14,48.00,J. Wojnowski,,,,,,
653,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,LEFL,5.0,14,48.00,J. Wojnowski,,,,,,
654,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,WAVI,5.0,14,48.00,J. Wojnowski,,,,,,
655,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,AMRE,3.0,14,48.00,J. Wojnowski,,,,,,
656,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,GCFL,3.0,14,48.00,J. Wojnowski,,,,,,
657,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,REVI,3.0,14,48.00,J. Wojnowski,,,,,,
658,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,AMGO,2.0,14,48.00,J. Wojnowski,,,,,,
659,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,BHCO,2.0,14,48.00,J. Wojnowski,,,,,,
660,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,MODO,2.0,14,48.00,J. Wojnowski,,,,,,
661,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,SWSP,2.0,14,48.00,J. Wojnowski,,,,,,
662,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,AMRO,1.0,14,48.00,J. Wojnowski,,,,,,
663,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,DOWO,1.0,14,48.00,J. Wojnowski,,,,,,
664,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,YSFL,1.0,14,48.00,J. Wojnowski,,,,,,
665,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,RTHA,1.0,14,48.00,J. Wojnowski,,,,,,
666,Red Oak - Ironwood Savannah,1991,12.00,Late,1992,GHOW,0.5,14,48.00,J. Wojnowski,,,,,,
667,Tamarack Slough,1991,8.75,Middle,1992,RWBL,11.5,16,61.50,D. Goodyear,,,,,,
668,Tamarack Slough,1991,8.75,Middle,1992,COYE,9.0,16,61.50,D. Goodyear,,,,,,
669,Tamarack Slough,1991,8.75,Middle,1992,HOWR,8.5,16,61.50,D. Goodyear,,,,,,
670,Tamarack Slough,1991,8.75,Middle,1992,SOSP,8.5,16,61.50,D. Goodyear,,,,,,
671,Tamarack Slough,1991,8.75,Middle,1992,COGR,6.0,16,61.50,D. Goodyear,,,,,,
672,Tamarack Slough,1991,8.75,Middle,1992,YWAR,4.5,16,61.50,D. Goodyear,,,,,,
673,Tamarack Slough,1991,8.75,Middle,1992,EAWP,4.0,16,61.50,D. Goodyear,,,,,,
674,Tamarack Slough,1991,8.75,Middle,1992,FISP,3.5,16,61.50,D. Goodyear,,,,,,
675,Tamarack Slough,1991,8.75,Middle,1992,BAOR,3.0,16,61.50,D. Goodyear,,,,,,
676,Tamarack Slough,1991,8.75,Middle,1992,BCCH,3.0,16,61.50,D. Goodyear,,,,,,
677,Tamarack Slough,1991,8.75,Middle,1992,BRTH,3.0,16,61.50,D. Goodyear,,,,,,
678,Tamarack Slough,1991,8.75,Middle,1992,CHSP,3.0,16,61.50,D. Goodyear,,,,,,
679,Tamarack Slough,1991,8.75,Middle,1992,GCFL,3.0,16,61.50,D. Goodyear,,,,,,
680,Tamarack Slough,1991,8.75,Middle,1992,GRCA,3.0,16,61.50,D. Goodyear,,,,,,
681,Tamarack Slough,1991,8.75,Middle,1992,MODO,3.0,16,61.50,D. Goodyear,,,,,,
682,Tamarack Slough,1991,8.75,Middle,1992,TRES,3.0,16,61.50,D. Goodyear,,,,,,Changed from 14.5 territories to agree with narrative
683,Tamarack Slough,1991,8.75,Middle,1992,EAKI,2.5,16,61.50,D. Goodyear,,,,,,
684,Tamarack Slough,1991,8.75,Middle,1992,CARW,2.0,16,61.50,D. Goodyear,,,,,,
685,Tamarack Slough,1991,8.75,Middle,1992,EATO,2.0,16,61.50,D. Goodyear,,,,,,
686,Tamarack Slough,1991,8.75,Middle,1992,NOCA,2.0,16,61.50,D. Goodyear,,,,,,
687,Tamarack Slough,1991,8.75,Middle,1992,SWSP,2.0,16,61.50,D. Goodyear,,,,,,
688,Tamarack Slough,1991,8.75,Middle,1992,AMGO,1.0,16,61.50,D. Goodyear,,,,,,
689,Tamarack Slough,1991,8.75,Middle,1992,AMWO,1.0,16,61.50,D. Goodyear,,,,,,
690,Tamarack Slough,1991,8.75,Middle,1992,BHCO,1.0,16,61.50,D. Goodyear,,,,,,
691,Tamarack Slough,1991,8.75,Middle,1992,CEDW,1.0,16,61.50,D. Goodyear,,,,,,
692,Tamarack Slough,1991,8.75,Middle,1992,EUST,1.0,16,61.50,D. Goodyear,,,,,,
693,Tamarack Slough,1991,8.75,Middle,1992,EWPW,1.0,16,61.50,D. Goodyear,,,,,,
694,Tamarack Slough,1991,8.75,Middle,1992,INBU,1.0,16,61.50,D. Goodyear,,,,,,
695,Tamarack Slough,1991,8.75,Middle,1992,MALL,1.0,16,61.50,D. Goodyear,,,,,,
696,Tamarack Slough,1991,8.75,Middle,1992,VIRA,1.0,16,61.50,D. Goodyear,,,,,,
697,Tamarack Slough,1991,8.75,Middle,1992,WODU,1.0,16,61.50,D. Goodyear,,,,,,
698,Tamarack Slough,1991,8.75,Middle,1992,EAPH,0.5,16,61.50,D. Goodyear,,,,,,
699,Tamarack Slough,1991,8.75,Middle,1992,YSFL,0.5,16,61.50,D. Goodyear,,,,,,
700,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,TRES,13.5,13,36.50,G. Gibson,,,,,,
701,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,RWBL,9.0,13,36.50,G. Gibson,,,,,,
702,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,CHSP,4.0,13,36.50,G. Gibson,,,,,,
703,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,SOSP,4.0,13,36.50,G. Gibson,,,,,,
704,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,EAKI,3.5,13,36.50,G. Gibson,,,,,,
705,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,BRTH,3.0,13,36.50,G. Gibson,,,,,,
706,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,COGR,3.0,13,36.50,G. Gibson,,,,,,
707,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,EUST,2.5,13,36.50,G. Gibson,,,,,,
708,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,FISP,2.0,13,36.50,G. Gibson,,,,,,
709,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,KILL,2.0,13,36.50,G. Gibson,,,,,,
710,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,AMRO,1.0,13,36.50,G. Gibson,,,,,,
711,Intergrading Dune - Swale Savannah,1991,11.00,Early,1993,SPSA,1.0,13,36.50,G. Gibson,,,,,,
712,Sedge - Rush Swale #1,1991,9.25,Early,1993,RWBL,3.5,10,16.08,G. Gibson,,,,,,
713,Sedge - Rush Swale #1,1991,9.25,Early,1993,EAKI,1.5,10,16.08,G. Gibson,,,,,,
714,Sedge - Rush Swale #1,1991,9.25,Early,1993,KILL,1.0,10,16.08,G. Gibson,,,,,,
715,Sedge - Rush Swale #1,1991,9.25,Early,1993,SPSA,1.0,10,16.08,G. Gibson,,,,,,
716,Sedge - Rush Swale #2,1991,9.25,Early,1993,SOSP,2.0,11,16.17,G. Ginson,,,,,,
717,Sedge - Rush Swale #2,1991,9.25,Early,1993,CHSP,1.0,11,16.17,G. Ginson,,,,,,
718,Sedge - Rush Swale #2,1991,9.25,Early,1993,KILL,1.0,11,16.17,G. Ginson,,,,,,
719,Sedge - Rush Swale #2,1991,9.25,Early,1993,RWBL,0.5,11,16.17,G. Ginson,,,,,,
720,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,FISP,+,13,52.92,D. Brenner,,,,,,
721,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,RWBL,41.0,13,52.92,D. Brenner,,,,,,
722,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,SOSP,8.5,13,52.92,D. Brenner,,,,,,
723,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,COYE,6.0,13,52.92,D. Brenner,,,,,,
724,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,TRES,5.5,13,52.92,D. Brenner,,,,,,
725,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,EAKI,4.0,13,52.92,D. Brenner,,,,,,
726,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,BAOR,2.0,13,52.92,D. Brenner,,,,,,
727,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,COGR,2.0,13,52.92,D. Brenner,,,,,,
728,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,MODO,2.0,13,52.92,D. Brenner,,,,,,
729,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,YWAR,2.0,13,52.92,D. Brenner,,,,,,
730,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,HOWR,1.5,13,52.92,D. Brenner,,,,,,
731,Sedge - Tamarack Dune Pond,1991,10.00,Middle,1993,CEDW,1.0,13,52.92,D. Brenner,,,,,,
732,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,HOWR,27.5,23,70.00,D. Brenner,,,,,,
733,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,GRCA,6.0,23,70.00,D. Brenner,,,,,,
734,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BAOR,5.5,23,70.00,D. Brenner,,,,,,
735,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,CHSP,5.5,23,70.00,D. Brenner,,,,,,
736,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,COYE,5.5,23,70.00,D. Brenner,,,,,,
737,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,SOSP,5.0,23,70.00,D. Brenner,,,,,,
738,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,TRES,4.5,23,70.00,D. Brenner,,,,,,
739,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,MODO,4.0,23,70.00,D. Brenner,,,,,,
740,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,EATO,3.5,23,70.00,D. Brenner,,,,,,
741,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,FISP,3.5,23,70.00,D. Brenner,,,,,,
742,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,EAWP,3.0,23,70.00,D. Brenner,,,,,,
743,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,EWPW,3.0,23,70.00,D. Brenner,,,,,,
744,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,RWBL,3.0,23,70.00,D. Brenner,,,,,,
745,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BCCH,2.5,23,70.00,D. Brenner,,,,,,
746,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,GCFL,2.5,23,70.00,D. Brenner,,,,,,
747,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BHCO,2.0,23,70.00,D. Brenner,,,,,,
748,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,CEDW,2.0,23,70.00,D. Brenner,,,,,,
749,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,EAKI,1.5,23,70.00,D. Brenner,,,,,,
750,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,EUST,1.5,23,70.00,D. Brenner,,,,,,
751,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,NOCA,1.5,23,70.00,D. Brenner,,,,,,
752,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BLBW,1.0,23,70.00,D. Brenner,,,,,,
753,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BLJA,1.0,23,70.00,D. Brenner,,,,,,
754,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BRCR,1.0,23,70.00,D. Brenner,,,,,,
755,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,CARW,1.0,23,70.00,D. Brenner,,,,,,
756,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,COGR,1.0,23,70.00,D. Brenner,,,,,,
757,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,CWWI,1.0,23,70.00,D. Brenner,,,,,,
758,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,DOWO,1.0,23,70.00,D. Brenner,,,,,,
759,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,LEFL,1.0,23,70.00,D. Brenner,,,,,,
760,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,MAWA,1.0,23,70.00,D. Brenner,,,,,,
761,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,YSFL,1.0,23,70.00,D. Brenner,,,,,,
762,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,RBNU,1.0,23,70.00,D. Brenner,,,,,,
763,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,REVI,1.0,23,70.00,D. Brenner,,,,,,
764,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,WEVI,1.0,23,70.00,D. Brenner,,,,,,
765,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,YBCU,1.0,23,70.00,D. Brenner,,,,,,
766,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,AMRO,0.5,23,70.00,D. Brenner,,,,,,
767,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,BRTH,0.5,23,70.00,D. Brenner,,,,,,
768,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,MALL,0.5,23,70.00,D. Brenner,,,,,,
769,White Pine - White Cedar Savannah,1991,9.25,Middle,1993,YWAR,0.5,23,70.00,D. Brenner,,,,,,
770,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,TRES,18.5,12,40.80,G. Gibson,,,,,,
771,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,HOWR,14.0,12,40.80,G. Gibson,,,,,,
772,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,EAWP,12.0,12,40.80,G. Gibson,,,,,,
773,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,BAOR,9.0,12,40.80,G. Gibson,,,,,,
774,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,RWBL,7.0,12,40.80,G. Gibson,,,,,,
775,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,REVI,6.0,12,40.80,G. Gibson,,,,,,
776,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,COYE,5.0,12,40.80,G. Gibson,,,,,,
777,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,SOSP,4.5,12,40.80,G. Gibson,,,,,,
778,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,YWAR,4.5,12,40.80,G. Gibson,,,,,,
779,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,EUST,3.5,12,40.80,G. Gibson,,,,,,
780,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,EAKI,3.0,12,40.80,G. Gibson,,,,,,
781,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,GCFL,3.0,12,40.80,G. Gibson,,,,,,
782,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,BHCO,2.0,12,40.80,G. Gibson,,,,,,
783,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,DOWO,2.0,12,40.80,G. Gibson,,,,,,
784,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,INBU,2.0,12,40.80,G. Gibson,,,,,,
785,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,RBWO,2.0,12,40.80,G. Gibson,,,,,,
786,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,WAVI,2.0,12,40.80,G. Gibson,,,,,,
787,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,BCCH,1.0,12,40.80,G. Gibson,,,,,,
788,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,BLJA,1.0,12,40.80,G. Gibson,,,,,,
789,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,COGR,1.0,12,40.80,G. Gibson,,,,,,
790,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,YSFL,1.0,12,40.80,G. Gibson,,,,,,
791,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,RTHA,0.5,12,40.80,G. Gibson,,,,,,
792,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,YBCU,1.0,12,40.80,G. Gibson,,,,,,
793,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,AMRE,0.5,12,40.80,G. Gibson,,,,,,
794,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,BGGN,0.5,12,40.80,G. Gibson,,,,,,
795,Red Oak - Sugar Maple Forest,1991,11.00,Late,1994,RHWO,0.5,12,40.80,G. Gibson,,,,,,
796,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,EAWP,13.0,11,40.40,G. Gibson,,,,,,
797,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,RWBL,12.5,11,40.40,G. Gibson,,,,,,
798,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,HOWR,12.0,11,40.40,G. Gibson,,,,,,
799,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,SOSP,8.0,11,40.40,G. Gibson,,,,,,
800,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,COYE,7.5,11,40.40,G. Gibson,,,,,,
801,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,TRES,7.0,11,40.40,G. Gibson,,,,,,
802,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,BAOR,6.0,11,40.40,G. Gibson,,,,,,
803,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,YWAR,6.0,11,40.40,G. Gibson,,,,,,
804,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,WAVI,3.0,11,40.40,G. Gibson,,,,,,
805,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,BHCO,2.0,11,40.40,G. Gibson,,,,,,
806,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,COGR,2.0,11,40.40,G. Gibson,,,,,,
807,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,EAKI,2.0,11,40.40,G. Gibson,,,,,,
808,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,EUST,2.0,11,40.40,G. Gibson,,,,,,
809,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,GCFL,2.0,11,40.40,G. Gibson,,,,,,
810,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,AMRO,1.5,11,40.40,G. Gibson,,,,,,
811,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,AMRE,1.0,11,40.40,G. Gibson,,,,,,
812,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,BCCH,1.0,11,40.40,G. Gibson,,,,,,
813,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,BLJA,1.0,11,40.40,G. Gibson,,,,,,
814,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,CEDW,1.0,11,40.40,G. Gibson,,,,,,
815,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,DOWO,1.0,11,40.40,G. Gibson,,,,,,
816,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,NOCA,1.0,11,40.40,G. Gibson,,,,,,
817,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,YSFL,1.0,11,40.40,G. Gibson,,,,,,
818,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,REVI,1.0,11,40.40,G. Gibson,,,,,,
819,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,RHWO,1.0,11,40.40,G. Gibson,,,,,,
820,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,WBNU,1.0,11,40.40,G. Gibson,,,,,,
821,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,YBCU,1.0,11,40.40,G. Gibson,,,,,,
822,Red Oak - Sugar Maple Savannah,1991,10.50,Late,1994,GHOW,0.5,11,40.40,G. Gibson,,,,,,
823,Red Oak - White Birch Savannah,1991,10.00,Late,1994,RWBL,16.5,12,42.70,P. Prior,,,,,,
824,Red Oak - White Birch Savannah,1991,10.00,Late,1994,HOWR,12.0,12,42.70,P. Prior,,,,,,
825,Red Oak - White Birch Savannah,1991,10.00,Late,1994,TRES,11.0,12,42.70,P. Prior,,,,,,
826,Red Oak - White Birch Savannah,1991,10.00,Late,1994,EAWP,10.0,12,42.70,P. Prior,,,,,,
827,Red Oak - White Birch Savannah,1991,10.00,Late,1994,YWAR,7.5,12,42.70,P. Prior,,,,,,
828,Red Oak - White Birch Savannah,1991,10.00,Late,1994,BAOR,6.0,12,42.70,P. Prior,,,,,,
829,Red Oak - White Birch Savannah,1991,10.00,Late,1994,WAVI,5.5,12,42.70,P. Prior,,,,,,
830,Red Oak - White Birch Savannah,1991,10.00,Late,1994,COYE,4.5,12,42.70,P. Prior,,,,,,
831,Red Oak - White Birch Savannah,1991,10.00,Late,1994,EUST,4.0,12,42.70,P. Prior,,,,,,
